DOI,std_smiles,std_relation,Standard Value,inchi_key
 10.1021/jm301661h,CCCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,=,20.0,BMWFXJOQYUAESO-UHFFFAOYSA-N
 10.1021/jm500432n,COc1cnc2ccc(=O)n(CCN3CCC(NC(=O)c4cnc(C)c(C#N)c4)CC3)c2c1,=,4.2,KTXPVNWIGGZAFK-UHFFFAOYSA-N
 10.1016/j.bmcl.2007.11.059,Cc1cc(COc2ccc(C(=O)NC3CN(S(C)(=O)=O)CC3C(=O)NO)cc2)c2ccccc2n1,=,0.3,YURFZWNLXFKRFO-UHFFFAOYSA-N
 10.1021/ml400217r,C=Cc1cc(C(NC(=O)NC(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,=,0.36,KGGMDNMLGKIVRP-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.06.036,N#Cc1ccc(OCC2CCCN2C(=O)CC(N)Cc2cc(F)c(F)cc2F)nc1,=,25.0,PCUWWJNYQGRHFM-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.07.014,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,=,0.02,UNKTYNIAIAATDF-UHFFFAOYSA-N
 10.1021/jm300041e,Cc1ccc(Nc2c(-c3ccc(F)cc3)nc3n2CCN(C(=O)C(C)(C)N)C3(C)C)cc1,=,3.5,QIZBBXZGNNKGNT-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.07.014,CC(C)(C)CCn1c(=O)c(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccn21,=,0.3,IFOIHAHIQJSCGH-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.129,N=C(N)SCc1cc(F)ccc1Sc1ccc([N+](=O)[O-])cc1CSC(=N)N,=,0.1,KPKVFORNVZIISV-UHFFFAOYSA-N
 10.1021/jm3012273,CC(C)(C)C(CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12,=,8.0,ZKLITWMNDRXOLR-UHFFFAOYSA-N
 10.1021/jm300041e,Cc1ccc(Nc2c(-c3ccc(F)cc3)nc3n2CCNC3)cc1,=,8.2,YNAUNZIJZGIRHN-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.07.059,Cc1c(-c2cccc(OCCCCC(=O)O)c2F)c(=O)n(CC(c2ccccc2)N(C)C)c(=O)n1Cc1c(F)cccc1C(F)(F)F,=,17.0,NSBUNJVFFBYJER-UHFFFAOYSA-N
 10.1021/jm0603163,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)n(C)c(=O)c3ccccc23)cc1,=,0.03,UUTPXLIURPXEIR-UHFFFAOYSA-N
 10.1021/jm400209h,CNC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,=,13.9,FDQKVVSGMVCGPK-UHFFFAOYSA-N
 10.1016/j.bmcl.2014.04.001,CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3F)CC2)nc1C,=,0.3,WRIBCZHOWSHAQP-UHFFFAOYSA-N
 10.1016/j.ejmech.2012.03.014,COC(=O)c1ccc2c(c1)nc(C(F)(F)F)n2C,=,26.66,VHQDSLJGZYEVRX-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.06.096,O=C(c1ccccc1C(F)(F)F)N(CC1CCC1)C1CCNC1,=,16.0,SWADTMSKMJUFBO-UHFFFAOYSA-N
 10.1016/j.ejmech.2012.03.015,N#Cc1ccccc1Cn1c(N2CCCC(N)C2)nc2c(-c3ccncc3)c[nH]c2c1=O,=,4.13,YWQJGNYVLQDILG-UHFFFAOYSA-N
 10.1021/jm200497t,CC(C)Oc1cccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)c1,=,40.1,FEZHSOQGVVCFMF-UHFFFAOYSA-N
 10.1039/C2MD20061A,COc1cc(CN2CCN(C)CC2)ccc1-c1nc2ncc(Cl)c(NC3C4C=CC(C4)C3C(N)=O)c2[nH]1,=,2.7,CAIAMTHZGVFCNA-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.129,N=C(N)SCc1cccc2c1C(=O)c1c(CSC(=N)N)cccc1-2,=,0.4,KZPZQJQJVUEFJN-UHFFFAOYSA-N
 10.1016/j.bmc.2013.09.054,O=C(CC1CNC(=O)c2cc(-c3cccc(Cl)c3)cn21)NCc1ccco1,=,33.1,PESUPVJYOACSIR-UHFFFAOYSA-N
 10.1016/j.bmcl.2013.06.010,COc1cc(-c2ccc3nc(NC(C)=O)sc3c2)cnc1N,=,6.7,FFIJKEOXPCFSSY-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.09.078,CC(C)(C)c1noc(C2CCCN2C(=O)CC(N)Cc2cc(F)c(F)cc2F)n1,=,20.0,CRRAGSMZDXBBKM-UHFFFAOYSA-N
 10.1021/jm100095x,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2cnn(-c3c(F)cccc3F)c2n(C)c1=O,=,27.0,BTFCCPKDGZFGPR-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.10.004,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6(C)CC6)CC5C=CCCCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,=,30.0,TUCCGBYIAGIEQH-UHFFFAOYSA-N
 10.1021/ml400526d,O=c1cc(C2CCNC(CC3CCCCC3)C2)o[nH]1,=,6.2,RFXLXOCXGKCDLJ-UHFFFAOYSA-N
 10.1016/j.bmcl.2013.02.084,CCC1(C)C(=O)Nc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2C(=O)N1C,=,8.1,QBMRCDGDWIRKMZ-UHFFFAOYSA-N
 10.1016/j.ejmech.2013.04.007,CCOC(=O)c1cc(C#N)c(N2CCC(NC(=O)NS(=O)(=O)c3ccc(Cl)s3)CC2)nc1C,=,6.9,GFVMYYVRTZJDHI-UHFFFAOYSA-N
 10.1039/C1MD00077B,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,=,5.3,AXRYRYVKAWYZBR-UHFFFAOYSA-N
 10.1016/j.bmcl.2007.05.035,Cc1c(CN(CCc2ccc(Cl)cc2)C2CCN(C(=O)c3c(F)cccc3F)CC2)c(=O)n(-c2ccc(F)cc2)n1C,=,8.1,GKXOETCIZGEUHB-UHFFFAOYSA-N
 10.1021/jm301296t,NC(=O)c1cncc(-c2ccc(C3CCC(CCO)CC3)cc2)n1,=,38.0,OZMNASCPQFCIEP-UHFFFAOYSA-N
 10.1016/j.bmc.2013.09.054,O=C(CC1CNC(=O)c2cc(-c3cccc(F)c3)cn21)NC(CO)Cc1ccccc1,=,1.3,AFHADFMYZXZAEV-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.121,CN(C)C(=O)CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,=,0.54,RXGDQEJCSZROIK-UHFFFAOYSA-N
 10.1021/ml400217r,C=Cc1cc(C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,=,9.7,JRYMIUUGCMGFQZ-UHFFFAOYSA-N
 10.1016/j.bmc.2006.10.002,COCCC(CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,=,1.0,GQXPQLZHUYKTKG-UHFFFAOYSA-N
 10.1021/jm100978n,CC(=O)NC(CCN1C2CCC1CC(n1c(C)nc3c1CCN(C(=O)C(C)(C)C)C3)C2)c1cccc(F)c1,=,1.0,OALXFTNKIGJWPY-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.04.066,CN(c1ccc2c(c1)S(=O)(=O)NC(=c1c(=O)c3cccn3n(Cc3ccc(F)cc3)c1=O)N2)S(C)(=O)=O,=,0.9,NUQMFBNYYKWAEI-UHFFFAOYSA-N
 10.1016/j.bmcl.2007.09.031,COc1cccc(OC)c1CNC(=O)c1cc2cc(CC(C)NCC(O)c3ccc(O)c(CO)c3)ccc2[nH]1,<,1.0,WTBGOYCHEVMMHF-UHFFFAOYSA-N
 10.1016/j.ejmech.2012.03.015,N#Cc1ccccc1Cn1c(N2CCCC(N)C2)nc2[nH]c(-c3cccnc3)cc2c1=O,=,2.55,UEXHMVRTCMQTTN-UHFFFAOYSA-N
 10.1021/jm100176s,O=C(NC1(C(=O)NC(CCCN2CCN(CC3CCOCC3)CC2)Cc2ccccc2)CCCC1)c1ccc(-c2ccccc2)cc1,=,13.6,PGRZDFUKUNJXDD-UHFFFAOYSA-N
 10.1016/j.ejmech.2012.03.014,COC(=O)c1ccc2nc(C(F)(F)F)[nH]c2c1,=,32.69,PHZVAKSKMBVEHM-UHFFFAOYSA-N
 10.1021/acs.jmedchem.5b00919,CCC(C)C1NC(=O)C2CCCN2C(=O)C(C(C)O)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(C)NC(=O)c2csc1n2,=,0.4,BTAGUDKMHRNOJG-UHFFFAOYSA-N
 10.1021/ml3001787,c1ccc(C(C(c2ccccc2)N2CCCC2)N2CCCC2)cc1,=,13.3,XAMJZICIEQIVJK-UHFFFAOYSA-N
 10.1021/jm300967g,NC1CCN(c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)C1,=,16.8,MPTVBCUATPSHDI-UHFFFAOYSA-N
 10.1021/jm3005543,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,=,54.3,VLLUKRPQSNNZJT-UHFFFAOYSA-N
 10.1021/jm300991n,CC1=NC(c2ccc(F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,=,41.0,PXUUVOWXCHBBOB-UHFFFAOYSA-N
 10.1021/np4004905,OCC(Cc1cccc(O)c1)C(CO)Cc1cccc(O)c1,=,7.7,DWONJCNDULPHLV-UHFFFAOYSA-N
 10.1039/C3MD00156C,Cc1cc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc2c1NC(=O)C(C)(C)NC2=O,=,7.0,QCJMDFKIYFAQGY-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.01.124,CCOc1ccc(C(C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1,=,2.4,VIPPQTHWLREBCT-UHFFFAOYSA-N
 10.1021/jm300991n,COc1cccc(-c2cccc(C3(C)N=C(C)C(N)=N3)c2)c1,=,34.0,BEYGOLPVUQKUTI-UHFFFAOYSA-N
 10.1021/acs.jmedchem.5b00742,Cc1cc(C)nc(N2CC3CN(C(=O)c4ccc(F)cc4-n4nccn4)CC3C2)n1,=,58.1,ILQWQOBQPYXUMR-UHFFFAOYSA-N
 10.1021/ml400257h,CCC(C)C(NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(C)NC(=O)C1(C)CCCCC=CCCCCC(C)(NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(N)Cc2cnc[nH]2)C(C)C)C(C)O)C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(N)=O)C(=O)N1)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CCCCN)C(=O)O,<,0.1,YAVJPQSJCVVIRR-UHFFFAOYSA-N
 10.1021/jm3009025,NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C3CC3)c2)c2cccc(F)c21,=,42.0,HLZIYZMSCOXBTI-UHFFFAOYSA-N
 10.1016/j.bmcl.2013.06.010,CC(=O)Nc1nc2ccc(-c3ccc(N)nc3)cc2s1,=,46.0,WNYMKNYCLRXAIM-UHFFFAOYSA-N
 10.1016/j.ejmech.2011.08.021,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,=,5.7,YNZFFALZMRAPHQ-UHFFFAOYSA-N
 10.1016/j.bmcl.2005.09.037,N#CC1CCCN1C(=O)C(N)Cc1ccc(-c2ccc(F)cc2)cc1,=,7.21,CUGCFSZVULKSPS-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.12.112,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(OC)cc4)ncc3c2)ccn1,<,1.0,ASWKLFMEBXMNBX-UHFFFAOYSA-N
 10.1016/j.bmcl.2014.01.050,N#Cc1cc(-c2nc(N)[nH]c(=O)c2C#N)ccc1OCC1CC1,=,0.1,WUPFZEWFJOWNGF-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.01.124,CCOc1ccc(C(C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1F,=,0.8,UWGMYBLNCMZZFK-UHFFFAOYSA-N
 10.1021/jm3005543,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc(O)cc4)CC3)ccc2N1,=,17.8,YCOCADXVPASJAM-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.12.112,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(-c5cccnc5)cc4)ncc3c2)ccn1,<,1.0,GKKSHWWDZSJINW-UHFFFAOYSA-N
 10.1016/j.bmcl.2007.04.081,CC(Cc1cccc(CC(=O)NCc2c(F)cccc2Cl)c1)NCC(O)c1ccc(O)c(CO)c1,=,1.0,NQVMGLYGFGYGNF-UHFFFAOYSA-N
 10.1021/ml400257h,CCC(C)C(NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(C)NC(=O)C(CCSC)NC(=O)C(CCC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(N)Cc1c[nH]cn1)C(C)C)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)O,<,0.1,VBUWHHLIZKOSMS-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.12.112,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(OC(F)(F)F)c4)ncc3c2)ccn1,<,1.0,ZNTSJCOEQIYFGN-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.129,N=C(N)SCc1cc(F)ccc1Sc1ccc(F)cc1CSC(=N)N,=,0.4,UTMWAIBVJNMOFA-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.06.102,CCCCc1ccc(C(=O)NC2(C(=O)NC(Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)cc1,=,9.3,FNWMFLJWSOZBPX-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.04.119,O=c1c(C2=CS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc2n1Cc1ccc(F)cc1,=,0.6,WDQVVFOANIFZAU-UHFFFAOYSA-N
 10.1021/jm301511h,O=C(NCC1CCOCC1)c1nc(OS(=O)(=O)CCC(F)(F)F)ccc1NC(=O)c1ccc(Cn2ccnn2)c2ccccc12,=,21.0,XQLXNZCIFOPSBV-UHFFFAOYSA-N
 10.1021/jm301887f,CC(C)(C)NC(=O)Nc1nc(Cl)c(COCc2ccccc2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,=,4.0,HFDYLOIKNOEKTJ-UHFFFAOYSA-N
 10.1021/jm500432n,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(F)cc54)CC3F)nc2N1,=,7.6,ALQSLGJWIKQNFA-UHFFFAOYSA-N
 10.1016/j.bmcl.2006.10.037,NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,=,12.0,XAXUXVNWAUEYTR-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.04.119,O=c1c(C2=CS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc2n1CCC1CC1,=,0.6,PRMRWJOEIUUCJZ-UHFFFAOYSA-N
 10.1021/jm401507s,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCN(C)C(=O)N4C3)nc(-c3ccccc3)nc2c1C,=,26.0,LDCQPVCAPNJZDF-UHFFFAOYSA-N
 10.1021/jm3011349,COc1cccc(-c2cccc(C3(C)CSCC(N)=N3)c2)c1,=,7.3,KTKIYDOZUNZLBC-UHFFFAOYSA-N
 10.1021/jm070680h,COC(=O)NC(C(=O)NN(CCCC(O)(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O)Cc1ccc(-c2ccncc2)cc1)C(C)(C)C,<,20.0,MXBJTNCGIKKFSM-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.06.036,CN(CC1CCCN1C(=O)CC(N)Cc1cc(F)c(F)cc1F)c1ccc(C#N)cn1,=,19.0,XEFAKHLQYOJTSO-UHFFFAOYSA-N
 10.1016/j.bmcl.2009.09.078,NC(CC(=O)N1CCCC1c1nc(-c2ncc(F)cc2F)no1)Cc1cc(F)c(F)cc1F,=,3.0,ZANLSOZQTSYTOA-UHFFFAOYSA-N
 10.1039/C2MD20231J,Nc1ncnc2c1C(=O)N(c1ccc(-c3ccccc3F)cc1)CCO2,>,10.0,ZWIZMLXNSSZFNG-UHFFFAOYSA-N
 10.1021/jm3012273,CC(C)CC(CO)Nc1nc(SC(C)c2cc(Cl)ccn2)nc2nc(N)sc12,=,1.0,IODWPMZCKDAIJU-UHFFFAOYSA-N
 10.1021/jm3011349,CC1(c2cccc(-c3cccc(Cl)c3)c2)N=C(N)CCO1,=,2.1,DAWFJSNCVYTRMO-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.08.114,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)cc1C,=,14.9,SNFROMRRGGKYTF-UHFFFAOYSA-N
 10.1016/j.bmcl.2013.02.084,CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC(F)F)cc3)ccc2NC1=O,=,1.1,QBHUGPKPNMGAOH-UHFFFAOYSA-N
 10.1021/ml400526d,O=c1cc(C2CCNC(CCc3ccccc3)C2)o[nH]1,=,2.6,RUNJHXCAYKNYJM-UHFFFAOYSA-N
 10.1021/acs.jmedchem.5b00742,Cc1cc(C)nc(N2CC3CN(C(=O)c4cccc(F)c4-n4nccn4)CC3C2)n1,=,62.3,RQCIXSIWGGVIAE-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.10.004,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCNC(=O)N4C3)cc(-c3nccs3)nc2c1,=,0.4,YPCUHGLLUJBXAN-UHFFFAOYSA-N
 10.1016/j.bmc.2013.11.037,COC(=O)OC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C34OC(=O)OC3C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C(C(OC)C(=O)C12C)C4(C)C,=,3.93,AEYWDKDFKFVYDR-UHFFFAOYSA-N
 10.1021/jm2003359,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(Cl)cc2)C1,=,1.46,MTXUAKHFUYWWHV-UHFFFAOYSA-N
 10.1016/j.bmc.2013.11.037,COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,=,2.57,QIXHMNCRBYSZPM-UHFFFAOYSA-N
 10.1016/j.bmcl.2006.05.056,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,=,43.0,UACOXBQBNWQWOK-UHFFFAOYSA-N
