ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
11,Acivicin,42228-92-2,42228-92-2,ClC1=NO[C@H]([C@H](N)C(=O)O)C1,QAWIHIJWNYOLBE-OKKQSCSOSA-N,0.50,"McGovern JP, Pratt EA, Belt RJ, Taylor SA, Benjamin RS, Ardalan B, and Ohnuma T (1985) Pharmacokinetic and biochemical studies on acivicin in phase I clinical trials.  Canc. Res.  45: 4460-4463.",VDss was calculated from C vs t data obtained by digitization of a plot for one subjected that was included in the reference.  Plasma concentrations were determined by bioassay.
12,Acyclovir,59277-89-3,59277-89-3,n1c(nc2c(c1O)ncn2COC(C(O)([2H])[2H])([2H])[2H])N,MKUXAQIIEYXACX-LNLMKGTHSA-N,0.71,De Miranda P and Blum MR (1983) Pharmacokinetics of acyclovir after intravenous and oral administration.  J. Antimic. Chemother. 12(Suppl B): 29-37.,
13,Adefovir,106941-25-7,106941-25-7,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,SUPKOOSCJHTBAH-UHFFFAOYSA-N,0.42,"Cundy KC, Barditch-Crovo P, Walker RE, Collier AC, Ebeling D, Toole J, and Jaffe HS. (1995) Clinical pharmacokinetics of adefovir in human immunodeficiency virus type 1-infected patients.  Antimic. Ag. Chemother. 39: 2401-2405.   Hepsera Product Label.",
14,Adinazolam,37115-32-5,37115-32-5,Clc1cc2c(n3c(nnc3CN(C)C)CN=C2c2ccccc2)cc1,GJSLOMWRLALDCT-UHFFFAOYSA-N,0.98,"Fleishaker JC, Friedman H, and Pollock SR (1991)  Extent and variability of the first-pass elimination of adinazolam mesylate in healthy male volunteers.  Pharm. Res.  8: 162-167.",
15,Albuterol (salbutamol),18559-94-9,18559-94-9,OC(CNC(C)(C)C)c1cc(c(O)cc1)CO,NDAUXUAQIAJITI-UHFFFAOYSA-N,1.9,"Boulton DW and Fawcett JP (1996) Enantioselective disposition of salbutamol in man following oral and intravenous administration.  Br. J. Clin. Pharmacol. 1996, 41, 35-40.  Morgan DJ, Paull JD, Richmond BH, Wilson-Evered E, and Ziccone SP (1986) Pharmacokinetics of intravenous and oral salbutamol and its sulphate conjugate.  Br. J. Clin. Pharmacol.  22: 587-593.",Data for enantiomers were averaged.
16,Alcuronium,23214-96-2,23214-96-2,N12[C@@H]3[C@]4(c5c1cccc5)[C@@H]1C[C@H](C3=CN3[C@@H]5[C@]6(c7c3cccc7)[C@@H]3C[C@H](C5=C2)/C(=C\CO)/C[N@+]3(CC=C)CC6)/C(=C\CO)/C[N@+]1(CC=C)CC4,MUQUYTSLDVKIOF-CHJKCJHBSA-N,0.32,"Walker J, Shanks CA, and Triggs EJ (1980)  Clinical pharmacokinetics of alcuronium chloride in man.  Eur. J. Clin. Pharmacol. 17: 449-457. ",
17,Alfentanil,71195-58-9,71195-58-9,CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(nn3)CC)COC,IDBPHNDTYPBSNI-UHFFFAOYSA-N,0.45,"Bower S and Hull CJ (1982) Comparative pharmacokinetics of fentanyl and alfentanil.  Br. J. Anaesth. 54: 871-877.  McDonnell CG, Malkan D, Van Pelt FD, and Shorten GD (2003) Elimination of alfentanil delivered by infusion is not altered by the chronic administration of atorvastatin.    Eur. J. Anaesth. 20: 662-667.  Meuldermans WEG, Hurkmans RMA, and Heykants JJP (1982) Plasma protein binding and distribution of fentanyl, sufentanil, alfentanil and lofentanil in blood.    Arch. Int. Pharmacodyn. Ther.  257: 4-19.  Lemmens HJ, Burm AG, Bovill JG, Hennis PJ, and Gladines MP (1992)  Pharmacodynamics of alfentanil. The role of plasma protein binding.    Anesthesiol.  76: 65-70.",
18,Alfuzosin,81403-80-7,81403-80-7,O=C(C1OCCC1)NCCCN(c1nc(N)c2cc(OC)c(OC)cc2n1)C,WNMJYKCGWZFFKR-UHFFFAOYSA-N,1.5,"Guinebault P, Colafranceschi C, Bianchetti G, Thenot JP, Maillard D, Thiercelin JF, Larribaud J, and Morselli PL (1984) Absolute bioavailability of alfluzocine, a new alpha1 postsynaptic receptor antagonist, after oral and intravenous administration.  Biopharm. Pharmacokinet. 2nd European Congress 2: 578-583.",VDss calculated from C vs t data obtained by digitization of the plots included in the reference.
19,Alizapride,59338-93-1,59338-93-1,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,KSEYRUGYKHXGFW-UHFFFAOYSA-N,1.6,"Houin G, Barre J, and Tillement JP (1984) Absolute intramuscular, oral, and rectal bioavailability of alizapride.  J. Pharm. Sci. 73: 1450-1453.",VDss calculated from C vs t data obtained by digitization of the plots included in the reference.
20,Allopurinol,315-30-0,315-30-0,O=c1nc[nH]c2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,0.58,"Breithaupt H and Tittel M (1982) Kinetics of allopurinol after sinlge intravenous and oral doses.  Eur. J. Clin. Pharmacol. 22: 77-84.  Elion GB, Kovensky A, Hitchings GH, Metz E, and Rundles RW (1966) Metabolic studies of allopurinol, an inhibitor of xanthine oxidase.    Biochem. Pharmacol. 15: 863-889.",
21,Almotriptan,154323-57-6,154323-57-6,S(=O)(=O)(N1CCCC1)Cc1cc2c([nH]cc2CCN(C)C)cc1,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,2.2,"Gras J, Llenas J, Jansat JM, Jáuregui J, Cabarrocas X, Palacios JM (2002) Almotriptan, a New Anti-Migraine Agent: A Review CNS Drug Rev. 8: 217-234.  Jansat, JM, Costa J, Salva P, Fernandez FJ, and Martinez-Tobed A (2002) Absolute bioavailability, pharmacokinetics, and urinary excretion of the novel antimigraine agent almotriptan in healthy male volunteers.  J. Clin. Pharmacol. 42: 1303-1310.","VDss calculated from MRT and CL reported in Jansat, et al. "
22,Alosetron,122852-42-0,122852-42-0,O=C1N(CCc2n(c3c(c12)cccc3)C)Cc1nc[nH]c1C,JSWZEAMFRNKZNL-UHFFFAOYSA-N,1.1,"Kock KM, Palmer JL, Noordin N, Tomlinson JJ, and Baidoo C (2002) Sex and age differences in the pharmacokinetics of alosetron.  Br. J. Clin. Pharmacol. 53: 238-242.  Lotronex Product Label",
23,Alprazolam,28981-97-7,28981-97-7,Clc1cc2c(n3c(nnc3C)CN=C2c2ccccc2)cc1,VREFGVBLTWBCJP-UHFFFAOYSA-N,0.80,"Smith RB, Kroboth PD, Vanderligt JT, Phillips JP, and Juhl RP (1984) Pharmacokinetics and pharmacodynamics of alprazolam after oral and IV administration.  Psychopharmacology 84: 452-456.  Greenblatt DJ and Wright CE (1993) Clinical pharmacokinetics of alprazolam. Therapeutic implications.    Clin. pharmacokinet. 24: 453-471.  ",VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.
24,Alprenolol,13655-52-2,13655-52-2,O(CC(O)CNC(C)C)c1c(CC=C)cccc1,PAZJSJFMUHDSTF-UHFFFAOYSA-N,3.2,"Bodin NO, Borg KO, Johansson R, Obianwu H, Svensson R (1974) The absorption, distribution, and excretion of alprenolol in man, dog, and rat.  Acta Pharmacol. Toxicol. 35: 261-269.   Imamura H, Komori T, Ismail A, Suenaga A, and Otagiri M (2002)  Stereoselective protein binding of alprenolol in the renal diseased state.  Chirality 14: 599-603.",VDss and CL calculated from C vs t data obtained by digitization of the plot provided in the reference.
25,Amantadine,768-94-5,768-94-5,[C@@H]12C[C@@H]3C[C@@H](C1)CC(C2)(C3)N,DKNWSYNQZKUICI-LXZMWDSTSA-N,6.6,Aoki FY and Sitar DS (1988) Clinical pharmacokinetics of amantadine hydrochloride.  Clin. Pharmacokinet. 14: 35-51.,
26,Amdinocillin,32887-01-7,32887-01-7,S1[C@H]2N(C(C1(C)C)C(=O)OCOC(=O)C(C)(C)C)C(=O)[C@H]2/N=C/N1CCCCCC1,NPGNOVNWUSPMDP-LRKSUFLFSA-N,0.37,"Patel IH, Bornemann LD, Brocks VM, Fang LS, Tolkoff-Rubin NE, and Rubin RH (1985) Pharmacokinetics of intravenous amdinocillin in healthy subjects and patients with renal insufficiency.  Antimic. Ag. Chemother. 28: 46-50.",VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.
27,Amikacin,37517-28-5,37517-28-5,NCCC(O)C(=O)N[C@@H]1C[C@H](N)C(O[C@H]2O[C@H](CN)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O[C@H]1OC(CO)[C@@H](O)[C@H](N)[C@H]1O,LKCWBDHBTVXHDL-HAUVRSHRSA-N,0.16,"Lanao JM, Dominguez-Gil A, Tabernero JM, and De Castro S (1979)  Pharmacokinetics of amikacin (BB-K8) in patients with normal or impaired renal function.  Int. J. Clin. Pharmacol. Biopharm. 17: 171-175.  Clarke JT, Libke RD, Regamey C, and Kirby WMM (1974) Comparative pharmacokinetics of amikacin and kanamycin.  Clin. Pharmacol. Ther.  15: 610-616.  Brunnemann SR and Segal JR (1991) Amikacin serum protein binding in spinal cord injury.  Life Sci. 49: PL1-PL5.",CL calculated from reported compartmental model parameters. Protein binding data averaged from two papers.
28,"Aminocamptothecin, 9-",91421-43-1,91421-43-1,O1Cc2c(C(O)(CC)C1=O)cc1n(Cc3c1nc1c(c3)c(N)ccc1)c2=O,FUXVKZWTXQUGMW-UHFFFAOYSA-N,2.2,"Herben VM, van Gijn R, Schellens JH, Schot M, Lieverst J, Hillebrand MJ, Schoemaker NE, Porro MG, Beijnen JH, and ten Bokkel Huinink WW (1999)  Phase I and pharmacokinetic study of a daily times 5 short intravenous infusion schedule of 9-aminocamptothecin in a colloidal dispersion formulation in patients with advanced solid tumors.  J. Clin. Oncol.17: 1906-1914.  Masubuchi N, May RD, and Atsumi R (2004)  A predictive model of human myelotoxicity using five camptothecin derivatives and the in vitro colony-forming unit granulocyte/macrophage assay.  Clin. Cancer Res. 10: 6722-6731.",
29,"Aminohexanoic acid, 6-",60-32-2,60-32-2,NCCCCCC(=O)O,SLXKOJJOQWFEFD-UHFFFAOYSA-N,0.39,"Frederiksen  MC, Bowsher DJ, Ruo TI, Henthorn TK, Ts'ao CH, Green D, and Atkinson AJ (1984) Kinetics of epsilon-aminocaproic acid distribution, elimination, and antifibrinolytic effects in normal subjects.  Clin. Pharmacol. Ther. 35: 387-393.  McNicol GP, Fletcher AP, Alkjaersig N, and Sherry S (1962) The absorption, distribution, and excretion of e-aminocaproic acid following oral or intravenous administration to man.  J. Lab Clin. Med. 59: 15-24.",
30,"Aminosalicylic acid, 5-",89-57-6,89-57-6,[O-][N+](=O)c1c(C(N(/N=C/c2c([N+](=O)[O-])cccc2)C)N(/N=C/c2c([N+](=O)[O-])cccc2)C)cccc1,LLMRAEGWKAYSSZ-FEZYOMQXSA-N,0.33,"Bondesen S, Hegnhoj J, Larsen F, Hansen H, Hansen CP, and Rasmussen SN (1991) Pharmacokinetics of 5-aminosalicylic acid in man following administration of intravenous bolus and per os slow-release formulation.  Digest. Dis. Sci.  12: 1735-1740.  Way EL, Smith PK, Howie DL, Weiss R, and Swanson R (1948) The absorption, distribution, excretion, and fate of para-aminosalicylic acid.  J. Pharmacol. Exp. Ther. 93: 368-382.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss and t1/2 calculated from data obtained by digitization of C vs t plots provided in the references.
31,Amiodarone ,1951-25-3,1951-25-3,C(=O)(c1c(c(c(c(c1)I)OCCN(CC)CC)I)c1c(oc2c1cccc2)CCCC)c1c(c(c(c(c1)I)OCCN(CC)CC)I)c1c(oc2c1cccc2)CCCC,ISBICGJCBZOIOL-UHFFFAOYSA-N,60,"Ujhelyi MR, Klamerus KJ, Vadiei K, O'Rangers E, Izard M, Neefe DL, Zimmerman JJ, and Chow MSS (1996) Disposition of intravenous amiodarone in subjects with normal and impaired renal function.  J. Clin. Pharmacol. 36: 122-130.  Veronese ME, McLean S, and Hendriks R (1988) Plasma protein binding of amiodarone in a patient population: measurement by erythrocyte partitioning and a novel glass-binding method.  Br. J. Clin. Pharmacol 26: 721-731.",
32,Amitriptyline,50-48-6,50-48-6,N(CC/C=C\1/c2c(CCc3c1cccc3)cccc2)(C)C,KRMDCWKBEZIMAB-UHFFFAOYSA-N,8.7,Jorgensen A and Hansen V (1976) Pharmacokinetics of amitriptyline infused intravenously in man.  Eur. J. Clin. Pharmacol.  10: 337-341.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.    Naunyn-Sch Arch. Pharmacol. 327: 260-265.,
33,Amlodipine,88150-42-9,88150-42-9,C1(=C(NC(=C(C1c1c(Cl)cccc1)C(=O)OC)C)COC(C([2H])([2H])N)([2H])[2H])C(=O)OCC.C(=O)(/C=C/C(=O)O)O,TZNOWAJJWCGILX-CIPKXTDXSA-N,17,"Faulkner JK, McGibney D, Chasseaud LF, Perry JL, and Taylor IW (1986) The pharmacokinetics of amlodipine in healthy volunteers after single intravenous and oral doses and after 14 repeated oral doses given once daily. Br. J. Clin. Pharmacol. 22: 21-25.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1998) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",VDss calculated from C vs t data obtained by digitization of the plot in Faulkner et al.
34,Amoxicillin,26787-78-0,26787-78-0,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,0.25,"Arancibia A, Guttmann J, Gonzalez G, and Gonzalez C (1980) Absorption and disposition kinetics of amoxicillin in normal human subjects.  Antimic. Ag. Chemother. 17: 199-202.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",
35,Amphetamine,300-62-9,300-62-9,N[C@H](Cc1ccccc1)C,KWTSXDURSIMDCE-QMMMGPOBSA-N,6.1,"Angagard E, Gunne LM, Jonsson LE and Niklasson F (1970) Pharmacokinetics and clinical studies on amphetamine dependent subjects.  Eur. J. Clin. Pharmacol. 3: 3-11.  Busto U, Bendayan R, and Sellers EM (1989) Clinical pharmacokinetics of non-opiate abused drugs.  Clin. Pharmacokinet. 16: 1-26.  De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",PK reported as monoexponential decline so reported VD was used as VDss.  CL calculated from VD and t1/2.
36,Ampicillin,69-53-4,69-53-4,c1c(cccc1)[C@@H](C(=O)N[C@H]1C(=O)N2[C@H]1SC([C@H]2C(=O)O)(C)C)N,AVKUERGKIZMTKX-DYNIEEOBSA-N,0.22,"Blum RA, Kohli RK, Harrison NJ, and Schentag JJ (1989) Pharmacokinetics of ampicillin (2.0 grams) and sulbactam (1.0 gram) coadministered to subjects with normal and abnormal renal function and with end-stage renal disease on hemodialysis.    Antimic. Ag. Chemother. 33: 1470-1476.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",
37,Amrinone,60719-84-8,60719-84-8,CCOC(=O)C(N)C(=O)OCC,WLTCKEHCTUYJGI-UHFFFAOYSA-N,1.3,"Hamilton RA, Kowalsky SF, Wright EM, Cernak P, Benziger DP, Stroshane RM, and Edelson J (1986)  Effect of the acetylator phenotype on amrinone pharmacokinetics.  Clin. Pharmacol. Ther. 40: 615-619.  Koprda V, Trnovec T, and Landmann H (1986) The binding of amrinone to plasma proteins.  Pharmazie 41: 300-301.",CL value from rapid acetylators only.
38,Amsacrine,51264-14-3,51264-14-3,Cl.S(=O)(=O)(Nc1cc(OC)c(Cc2c3c(nc4c2cccc4)cccc3)cc1)C,BVCVPWKWOSOVKB-UHFFFAOYSA-N,1.6,"Jurlina JL, Varcoe AR, and Paxton JW (1985) Pharmacokinetics of amsacrine in patients receiving combined chemotherapy for treatment of acute myelogenous leukemia.  Canc. Chemother. Pharmacol.  14: 21-25.  Paxton JW, Kim SN, and Whitfield LR (1990) Pharmacokinetic and toxicity scaling of the antitumor agents amsacrine and CI-921, a new analogue, in mice, rats, rabbits, dogs, and humans.  Cancer Res.  50: 2692-2697.","VDss reported in Paxton, et al, and cites Jurlina, et al.,  references which has only Vdbeta at 1.7 L/kg.  Used value from Paxton report."
39,Amsalog,80841-47-0,80841-47-0,S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4C(=O)NC)c(ccc3)C)cc1)C,TWHSQQYCDVSBRK-UHFFFAOYSA-N,0.30,"Paxton JW, Hardy JR, Evans PC, Harvey VJ, and Baguley BC (1988) The clinical pharmacokinetics of N-5-dimethyl-9-[(2-methoxy-4-methyl-sulfonylamino)phenylamino]-4-acridinecarboxamide (CI-921) in a phase 1 trial.  Canc. Chemother. Pharmacol. 22: 235-240.  Fyfe D, Prce C, Langley RE, Pagonis C, Houghton J, Osborne L, Woll PJ, Gardner C, Baguley BC, and Carmichael J (2001) A phase I trial of amsalog (CI-921) administered by intravenous infusion using a 5-day schedule.  Canc. Chemoher. Pharmacol. 47: 333-337.  Paxton JW, Kim SN, and Whitfield LR (1990) Pharmacokinetic and toxicity scaling of the antitumor agents amsacrine and CI-921, a new analogue, in mice, rats, rabbits, dogs, and humans.  Cancer Res.  50: 2692-2697.",
40,Anhydrovinblastine,38390-45-3,38390-45-3,O([C@@H]1[C@]2([C@@H]3N(CC[C@@]43C(N(c3c4cc(c(OC)c3)[C@]3(CC4CN(CCc5c3[nH]c3c5cccc3)CC(=C4)CC)C(=O)OC)C)[C@@]1(O)C(=O)OC)CC=C2)CC)C(=O)C,FFRFGVHNKJYNOV-YQQWXOIBSA-N,12,"Ramnath N, Schwartz GN, Smith P, Bong D, Kanter P, Berdzik J, and Creaven PJ (2003) Phase I and pharmacokinetic study of anhydrovinblastine every three weeks in patients with refractory solid tumors.  Canc. Chemother. Pharmacol. 51: 227-230.",VDss was calculated from C vs t data obtained by digitization of the plots provided in the reference.  Median values for CL and t1/2 were reported.
41,Anidulafungin,166663-25-8,166663-25-8,C1N2[C@@H]([C@H]([C@H]1C)O)C(=O)N[C@@H]([C@@H](C[C@@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@H]([C@@H]([C@H](c1ccc(cc1)O)O)O)C(=O)N[C@H](C2=O)[C@@H](C)O)O)NC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)OCCCCC)O)O,JHVAMHSQVVQIOT-MFAJLEFUSA-N,0.57,"Dowell JA, Schranz J, Baruch A, and Foster G (2005) Safety and pharmacokinetics of coadministered voriconazole and anidulafungin.  J. Clin. Pharmacol. 45: 1373-1382.  Eraxis Product Label.",
42,Antipyrine,60-80-0,60-80-0,O=c1cc(C)n(C)n1c1ccccc1,VEQOALNAAJBPNY-UHFFFAOYSA-N,0.77,"Andreasen PB and Vesell ES (1974) Comparison of plasma levels of antipyrine, tolbutamide, and warfarin after oral and intravenous administration.  Clin. Pharmacol. Ther. 16: 1059-1065.  Danhof M, vanZuilen A, Boeijinga JK, and Breimer DD (1982) Studies of the different metabolic pathways of antipyrine in man.  Eur. J. Clin. Pharmacol.  21: 433-441.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003)  Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",Danhof reference not included for VDss (would require digitization); Andreason reference used a one-compartment model so VDc = VDss.
43,Aprepitant,170729-80-3,170729-80-3,c1(cc(cc(c1)[C@@H](O[C@@H]1OCCN([C@@H]1c1ccc(cc1)F)Cc1nc(=C)[nH][nH]1)C)C(F)(F)F)C(F)(F)F,VSEBZPDGARNVML-QYDGOFIISA-N,0.94,"Majumdar AK, Howard L, Goldberg, MR, Hickey L, Constanzer M, Rothenberg PL, Crumley TM, Panebianco D, Bradstreet TE, Bergman AJ, Waldman SA, Greenberg HE, Butler K,  Knops A, De Lepeleire I, Michiels N, and Petty KJ (2006) Pharmacokinetics of aprepitant after single and multiple oral doses in healthy volunteers.  J. Clin. Pharmacol. 46: 291-300.  Emend Product Label.",
44,Argatroban,74863-84-6,74863-84-6,S(=O)(=O)(N[C@H](C(=O)N1[C@H](C[C@@H](CC1)C)C(=O)O)CCCN=C(N)N)c1c2NC[C@@H](Cc2ccc1)C,KXNPVXPOPUZYGB-XYVMCAHJSA-N,0.17,"Hauptmann, J. (2002) Pharmacokinetics of an emerging new class of anticoagulant/antithrombotic drugs A review of small-molecule thrombin inhibitors.    Eur J Clin Pharmacol  57:  751-758. ",
45,Aripiprazole,129722-12-9,129722-12-9,O=C1Nc2c(ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2)CC1,CEUORZQYGODEFX-UHFFFAOYSA-N,4.9,Abilify Product Label.,CL value in FDA documents on-line.
46,Artesunate,88495-63-0,88495-63-0,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)[O-])O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,FIHJKUPKCHIPAT-AHIGJZGOSA-M,15,"Newton PN, Barnes KI, Smith PJ, Evans AC, Chierakul, W, Ruangveerayuth R, and WhiteNJ (2006) The pharmacokinetics of intravenous artesunate in adults with severe falciparum malaria.    Eur. J. Clin. Pharmacol.  62: 1003-1009.  Li Q, Xie LH, Haeberle A, Zhang J, and Weina P (2006) The evaluation of radiolabeled artesunate on tissue distribution in rats and protein binding in humans.  Am. J. Trop. Med. Hyg. 75: 817-826.",
47,Atenolol,29122-68-7,29122-68-7,OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,METKIMKYRPQLGS-UHFFFAOYSA-N,0.95,"Mason WD, Winer N, Kochak G, Cohen I, and Bell R (1979) Kinetics and absolute bioavailability of atenolol.  Clin. Pharmacol. Ther.  25: 408-415.  Henry JA and Mitchell SN (1981)  Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",VDss calculated from reported micro constants. 
48,Atomoxetine,83015-26-3,83015-26-3,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,VHGCDTVCOLNTBX-QGZVFWFLSA-N,0.85,Strattera Product Label,CYP2D6 EM data MRT is calculated as VD/CL; CL was calculated as CLpo/F (F=63%)
