MoKa.LogD7.4,"fraction unbound 
in plasma (fu)",moka_ionState7.4,std_smiles,std_relation,human VDss (L/kg),inchi_key
1.9,,cationic,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,=,1.83,NANQRVOKMXDMNL-AWEZNQCLSA-N
-1.9,0.011,neutral,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,=,2.3,WLGIWVFFGMPRLM-SLHNCBLASA-N
3.8,,neutral,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,=,0.42,DZMVCVHATYROOS-ZBFGKEHZSA-N
1.1,0.01,anionic,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,=,0.33,SEERZIQQUAZTOL-ANMDKAQQSA-N
2.5,0.21,cationic,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,=,4.4,USSIQXCVUWKGNF-UHFFFAOYSA-N
3.5,0.073,neutral,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,=,1.0,XQYZDYMELSJDRZ-UHFFFAOYSA-N
0.095,0.01,anionic,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,=,0.21,NGBFQHCMQULJNZ-UHFFFAOYSA-N
1.2,0.36,cationic,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,=,3.3,IXTMWRCNAAVVAI-UHFFFAOYSA-N
2.0,0.23,neutral,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,=,1.2,VHRSUDSXCMQTMA-PJHHCJLFSA-N
3.0,0.26,cationic,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,=,2.2,PJWPNDMDCLXCOM-UHFFFAOYSA-N
-9.0,,cationic,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](OC(N)=O)[C@H]1O)c1c[nH]cn1,=,0.43,OYVAGSVQBOHSSS-LCQMHXTJSA-O
3.5,0.081,neutral,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,=,1.5,MNJVRJDLRVPLFE-UHFFFAOYSA-N
3.6,0.051,neutral,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,=,2.2,CHIFCDOIPRCHCF-UHFFFAOYSA-N
2.0,0.06,cationic,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,=,2.38,DAFYYTQWSAWIGS-DEOSSOPVSA-N
-8.6,0.5,anionic,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,=,9.7,OVBPIULPVIDEAO-LBPRGKRZSA-N
2.4,,cationic,CN(CCC(=O)/C=C/c1ccc(O)cc1)CCc1ccc2c(c1)OCO2,=,2.13,JEJGJJSMKOHPTP-XBXARRHUSA-N
1.9,,neutral,CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,=,0.11,NJBBLOIWMSYVCQ-VZTVMPNDSA-N
-0.57,,neutral,Cc1ncc(CO)c(CO)c1O,=,0.66,LXNHXLLTXMVWPM-UHFFFAOYSA-N
0.97,,cationic,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,=,4.8,SGUAFYQXFOLMHL-ACJLOTCBSA-N
-0.8,0.05,neutral,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,=,0.39,NZXHFDXOCVIYLO-UHFFFAOYSA-N
1.9,,neutral,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,=,0.87,SJFBTAPEPRWNKH-CCKFTAQKSA-N
0.77,,cationic,Cc1cc(OC[C@H](O)CNC(C)C)c(C)c(C)c1O,=,3.6,HHMMIZFWFLNZEU-CYBMUJFWSA-N
-1.7,0.68,anionic,CC(=O)Oc1ccccc1C(=O)O,=,0.22,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
1.0,0.001,neutral,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,=,0.68,SETFNECMODOHTO-UHFFFAOYSA-N
5.1,0.05,cationic,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,=,17.6,VDHAWDNDOKGFTD-MRXNPFEDSA-N
-2.4,,cationic,C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,=,0.42,WZHKXNSOCOQYQX-FUAFALNISA-N
1.4,0.16,cationic,CNCCCN1c2ccccc2CCc2ccccc21,=,15.0,HCYAFALTSJYZDH-UHFFFAOYSA-N
-3.5,,zwitterionic,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)C(CCC(=O)O)=C4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,=,0.51,MNCZEEFHIBYYSK-ZSFNYQMMSA-N
6.2,0.0002,cationic,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,=,60.0,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
0.28,0.24,zwitterionic,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,=,1.3,WVPSKSLAZQPAKQ-CDMJZVDBSA-N
3.4,,cationic,C/C=C1\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCCC(C)C)C(C)C)[C@@H](C)O)C(C)C)C(C)C)[C@@H](C)CC)[C@@H](C)OC(=O)[C@H](C(C)C)NC1=O,=,0.11,RCGXNDQKCXNWLO-YUWVIAPDSA-N
2.3,0.13,cationic,C#CCN(C)C(C)Cc1ccccc1,=,1.9,MEZLKOACVSPNER-UHFFFAOYSA-N
0.2,,cationic,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,=,,RUXPNBWPIRDVTH-UHFFFAOYSA-N
-4.0,1.0,anionic,C[N+](C)(C)C[C@H](O)CC(=O)[O-],=,0.4,PHIQHXFUZVPYII-ZCFIWIBFSA-N
2.4,0.41,cationic,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,=,3.0,LJVAJPDWBABPEJ-PNUFFHFMSA-N
-0.2,0.85,cationic,CN[C@@H](C)Cc1ccccc1,=,4.3,MYWUZJCMWCOHBA-VIFPVBQESA-N
-3.4,,zwitterionic,N=C(N)N[C@@H](CS)C(=O)O,=,0.25,XWRZKLKALVJDDS-REOHCLBHSA-N
-4.5,,anionic,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(CO)[C@@H](CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O,=,0.28,AXNVHPCVMSNXNP-IVKVKCDBSA-N
-0.72,0.13,zwitterionic,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,=,1.88,OGJPXUAPXNRGGI-UHFFFAOYSA-N
1.2,0.32,neutral,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(CC(C)=O)c3C2=O)ccc1OC,=,,MUKPBEDSDFRMNQ-GOSISDBHSA-N
1.0,0.27,cationic,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,=,1.8,FELGMEQIXOGIFQ-UHFFFAOYSA-N
9.0,,neutral,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc([C@@H](CCc3ccc(OC)c(OC)c3)OC(=O)[C@@H]3CCCCN3C(=O)[C@@H](CC)c3cc(OC)c(OC)c(OC)c3)c2)c1)c1cc(OC)c(OC)c(OC)c1,=,0.82,GQLCLPLEEOUJQC-ZTQDTCGGSA-N
3.6,0.037000000000000005,cationic,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,=,1.5,OOGJQPCLVADCPB-HXUWFJFHSA-N
-0.81,,anionic,CCOC(=O)[C@H](CCc1ccccc1)N[C@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,=,0.43,HRWCVUIFMSZDJS-NJAFHUGGSA-N
0.24,0.75,cationic,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,=,1.8,ULSDMUVEXKOYBU-ZDUSSCGKSA-N
6.1,0.006,cationic,C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,=,9.8,RBKASMJPSJDQKY-XFQKNYRZSA-N
2.6,,anionic,CCCCC(C)(C)[C@@H](O)/C=C\[C@H]1[C@@H](O)C[C@H](Cl)[C@H]1C/C=C/CCCC(=O)O,=,0.16,AIOFTOLPMOTZKD-VYEDLBQJSA-N
-0.11,,neutral,NC(=O)c1cccc(N)c1,=,1.9,GSCPDZHWVNUUFI-UHFFFAOYSA-N
2.7,0.075,cationic,CN(C)CCCN1c2ccccc2CCc2ccccc21,=,12.0,BCGWQEUPMDMJNV-UHFFFAOYSA-N
1.5,0.57,cationic,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,=,700.0,XXSMGPRMXLTPCZ-UHFFFAOYSA-N
-3.2,,anionic,COc1cccc2c1[C@H](CO)N1[C@H](C#N)[C@@H]3C[C@H](C(=O)O)[C@H]([C@@H]1C2)N3C,=,0.23,YGWHMSNGVVTUIT-DNIPMDERSA-N
-2.8,1.0,neutral,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,=,0.16,NTHXOOBQLCIOLC-UHFFFAOYSA-N
-2.3,,cationic,CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc3ccccc3c2)CSSC[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O,=,0.2,PUDHBTGHUJUUFI-SREHOQBVSA-N
-2.5,0.12,anionic,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CS[C@H]12)c1csc(N)n1,=,0.2,CXHKZHZLDMQGFF-HAHOGDSESA-N
0.84,,neutral,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,=,1.9,QZIQORUGXBPDSU-UHFFFAOYSA-N
3.3,0.02,anionic,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)[O-],=,0.23,IECPWNUMDGFDKC-LMODMPLDSA-M
2.6,,neutral,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1,=,0.8,JNUGFGAVPBYSHF-UHFFFAOYSA-N
-5.7,,neutral,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,=,1.0,AHZBEVXBKNYXPU-UHFFFAOYSA-N
-0.6,,cationic,CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2,=,,LWAFSWPYPHEXKX-LLVKDONJSA-N
3.0,0.04,neutral,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,=,1.5,HMJIYCCIJYRONP-UHFFFAOYSA-N
-2.0,1.0,neutral,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,=,4.6,XAUDJQYHKZQPEU-KVQBGUIXSA-N
1.6,,cationic,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC,=,1.8,VBHQKCBVWWUUKN-KZNAEPCWSA-N
0.34,0.29,cationic,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,=,23.8,PBAPPPCECJKMCM-IBGZPJMESA-N
0.83,0.33,neutral,O=C(O[C@H]1CC2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,=,5.1,OYYDSUSKLWTMMQ-OCESARCHSA-N
4.5,0.01,neutral,C[C@@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,=,2.2,WOFMFGQZHJDGCX-CLWZPKSSSA-N
1.9,0.12,cationic,Oc1ccc([C@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1,=,0.5,TVURRHSHRRELCG-CYBMUJFWSA-N
0.31,0.0016,anionic,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,=,0.097,HUPFGZXOMWLGNK-UHFFFAOYSA-N
2.9,0.36,neutral,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,=,0.82,CBVCZFGXHXORBI-PXQQMZJSSA-N
3.2,,cationic,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@@](C)(NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)C(=O)N12,=,4.02,XWMMZDZUHSYSPU-ZADNKJPOSA-N
1.3,0.13,zwitterionic,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,=,0.61,ACCMWZWAEFYUGZ-UHFFFAOYSA-N
-0.95,,anionic,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,=,0.21,SGOOQMRIPALTEL-UHFFFAOYSA-N
-9.0,0.08,anionic,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,=,0.07,PEASPLKKXBYDKL-FXEVSJAOSA-N
5.2,0.01,neutral,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,=,0.67,FKRSSPOQAMALKA-CUPIEXAXSA-N
-2.3,0.28,neutral,C[N+]1(C)[C@H]2CC(OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21,=,32.0,LERNTVKEWCAPOY-FPISHFTHSA-N
3.7,0.35,cationic,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,=,6.9,JTJMJGYZQZDUJJ-UHFFFAOYSA-N
2.6,0.017,neutral,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,=,1.3,RUZYUOTYCVRMRZ-UHFFFAOYSA-N
2.9,0.075,cationic,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,=,9.4,GGCSSNBKKAUURC-UHFFFAOYSA-N
-4.2,0.18,anionic,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,=,0.12,MLYYVTUWGNIJIB-BXKDBHETSA-N
1.7,0.62,neutral,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,=,0.14,YXSLJKQTIDHPOT-LJCJQEJUSA-N
3.7,0.01,cationic,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1,=,0.1,WGYPAJVJMXQXTR-ABNZCKJZSA-N
-1.6,0.04,neutral,CC(=O)Nc1nnc(S(N)(=O)=O)s1,=,0.37,BZKPWHYZMXOIDC-UHFFFAOYSA-N
0.91,,neutral,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,=,0.44,IXWNTLSTOZFSCM-YVACAVLKSA-N
-4.7,0.5,anionic,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,=,0.15,JETQIUPBHQNHNZ-NJBDSQKTSA-N
-9.0,,neutral,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,=,0.32,CEMXHAPUFJOOSV-XGWNLRGSSA-N
0.59,0.01,anionic,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,=,0.096,CGIGDMFJXJATDK-UHFFFAOYSA-N
-3.0,1.0,anionic,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,=,0.89,RLAWWYSOJDYHDC-BZSNNMDCSA-N
-0.57,0.035,anionic,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,=,0.25,PZRHRDRVRGEVNW-UHFFFAOYSA-N
3.9,,cationic,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,=,,NJMYODHXAKYRHW-DVZOWYKESA-N
0.077,0.84,zwitterionic,COc1c(N2C[C@@H](C)C[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,1.9,AVPQPGFLVZTJOR-RYUDHWBXSA-N
-0.46,0.95,cationic,CN1CCC[C@H]1c1cccnc1,=,2.6,SNICXCGAKADSCV-JTQLQIEISA-N
0.63,0.08900000000000001,cationic,Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,=,4.0,SKQDKFOTIPJUSV-UHFFFAOYSA-N
-1.1,0.017,anionic,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,=,0.17,OROAFUQRIXKEMV-LDADJPATSA-N
0.59,,anionic,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(CO)c8c1c2c(c34)c(c65)c78,=,0.56,YXBUQQDFTYOHQI-UHFFFAOYSA-N
1.7,0.11,cationic,CNCCCC12CCC(c3ccccc31)c1ccccc12,=,45.0,QSLMDECMDJKHMQ-UHFFFAOYSA-N
1.2,0.18,neutral,CCCc1cc(=O)[nH]c(=S)[nH]1,=,0.34,KNAHARQHSZJURB-UHFFFAOYSA-N
3.3,0.07,cationic,CN1C[C@H](C(=O)N[C@]2(C)O[C@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,=,0.33,LUZRJRNZXALNLM-AVXQAASESA-N
-6.0,0.33,anionic,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,=,1.5,OGSBUKJUDHAQEA-HOCLYGCPSA-N
2.5,0.13,neutral,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,=,0.3,QNZCBYKSOIHPEH-UHFFFAOYSA-N
-6.7,0.31,anionic,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,=,0.24,OKBVVJOGVLARMR-QSWIMTSFSA-N
3.8,0.002,cationic,C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,=,,FIVSJYGQAIEMOC-ZGNKEGEESA-N
-3.8,,anionic,CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1,=,0.27,BHELIUBJHYAEDK-RFZBSDRVSA-N
-3.9,0.03,anionic,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,=,0.15,PWAUCHMQEXVFJR-PMAPCBKXSA-N
