std_smiles,std_relation,human_VDss_L/kg,inchi_key
C#C[C@]1(OS(=O)(=O)O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,=,0.61,JHKCCDZKVDAGJH-SLHNCBLASA-N
C#Cc1cc2c(cc1OS(=O)(=O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,=,2.3,FJSQDVSTMCDMAQ-SSGANFLRSA-N
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,=,0.56,PLIVFNIUGLLCEK-UHFFFAOYSA-N
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,=,0.77,AAKJLRGGTJKAMG-UHFFFAOYSA-N
C/C(=C\[C@H](C(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]1CCCCN1C(C)C)C(C)(C)C)C(=O)O,=,1.26,FWYMMXUDTATKLG-PGLMLKKXSA-N
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,=,11.0,FABUFPQFXZVHFB-ZAYBSCONSA-N
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,=,11.0,FABUFPQFXZVHFB-PVYNADRNSA-N
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,=,14.4,QXRSDHAAWVKZLJ-WSWFRRQFSA-N
C/C(=C\c1csc(C)n1)[C@@H]1C[C@H]2[C@@H](CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1)N2CCOC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@H](NC(=O)c1ccc(NCc2c[nH]c3nc(N)nc(=O)c-3n2)cc1)C(=O)O)C(=O)O,=,0.09,TURJYGRXEJIBGT-OCOMGVANSA-N
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,=,0.16,UTNUDOFZCWSZMS-YFHOEESVSA-N
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(CO)[C@@H](CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O,=,0.23,AXNVHPCVMSNXNP-OXPBSUTMSA-N
C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(CO)[C@@H](CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O,=,0.28,AXNVHPCVMSNXNP-IVKVKCDBSA-N
C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,=,0.21,WDLWHQDACQUCJR-ZAMMOSSLSA-N
C/C=C/C[C@@H](C)C(=O)[C@@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,1.8,YJDYDFNKCBANTM-LLAKQOBUSA-N
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,1.8,YJDYDFNKCBANTM-BCJSPELNSA-N
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,3.3,PMATZTZNYRCHOR-CGLBZJNRSA-N
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,3.3,PMATZTZNYRCHOR-LQJDIJJQSA-N
C/C=C/c1cc(OC)c(OC)cc1OC,=,1.0,RKFAZBXYICVSKP-AATRIKPKSA-N
C/C=C1/NC(=O)[C@H]2CSSCC/C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,=,1.2,OHRURASPPZQGQM-UBQUJCNUSA-N
C/C=C1\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H]2CCCN2C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CC[C@@H](C)CC)C(C)C)[C@@H](C)O)C(C)C)C(C)C)[C@@H](C)CC)[C@@H](C)OC(=O)[C@H](C(C)C)NC1=O,=,5.55,ZNVCPJPCKSJWDH-UCTDCHLSSA-N
C/C=C1\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCCC(C)C)C(C)C)[C@@H](C)O)C(C)C)C(C)C)[C@@H](C)CC)[C@@H](C)OC(=O)[C@H](C(C)C)NC1=O,=,0.11,RCGXNDQKCXNWLO-YUWVIAPDSA-N
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,=,1.2,OHRURASPPZQGQM-GCCNXGTGSA-N
C/C=C\C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,=,0.21,WDLWHQDACQUCJR-AGGBKSKLSA-N
C1COC(NC(C2CC2)C2CC2)=N1,=,4.5,CQXADFVORZEARL-UHFFFAOYSA-N
C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCN=C(N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,=,0.36,RXOVOXFAAGIKDQ-UHFFFAOYSA-N
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,=,6.69,QHMBSVQNZZTUGM-ZWKOTPCHSA-N
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,=,0.26,AVOLMBLBETYQHX-UHFFFAOYSA-N
C=C(C[C@H](NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,=,0.7,QCLDSHDOWCMFBV-AWEZNQCLSA-N
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,=,0.25,GMRQFYUYWCNGIN-NKMMMXOESA-N
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O,=,,OFHCOWSQAMBJIW-AVJTYSNKSA-N
C=C1CC[C@@H]2[C@](C)(COC(=O)CCC(=O)O)[C@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,=,0.13,YTHKMAIVPFVDNU-GPTWTFMPSA-N
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,=,8.2,WJBLNOPPDWQMCH-MBPVOVBZSA-N
C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)O[C@H]3[C@H](C[C@H]4O[C@@H](CC[C@@H]1O2)C[C@@H](C)C4=C)O[C@H](C[C@H](O)CN)[C@@H]3OC,=,1.46,VEPHOPLDBFLPDL-KVWSPMLQSA-N
C=C1N=C(CN2CCO[C@@H](O[C@@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H]2c2ccc(F)cc2)NN1,=,0.94,VSEBZPDGARNVML-QYDGOFIISA-N
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,=,9.75,XYFPWWZEPKGCCK-UHFFFAOYSA-N
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,=,0.24,OKBVVJOGVLARMR-QSWIMTSFSA-N
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOCC(=O)O)c3csc(N)n3)[C@H]2SC1,=,0.24,OKBVVJOGVLARMR-QMTHXVAHSA-N
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)OC)=C4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,=,0.63,ZCQHFRFEJXRZDF-ZSFNYQMMSA-N
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)C(CCC(=O)O)=C4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,=,0.51,MNCZEEFHIBYYSK-ZSFNYQMMSA-N
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,=,1.1,NZXKDOXHBHYTKP-UHFFFAOYSA-N
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,=,2.72,OXTYVEUAQHPPMV-UHFFFAOYSA-N
C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,=,1.6,KSEYRUGYKHXGFW-UHFFFAOYSA-N
C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,=,1.6,KSEYRUGYKHXGFW-UHFFFAOYSA-N
C=CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,=,2.3,QRQMZZNDJGHPHZ-LBPRGKRZSA-N
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,=,1.7,UZHSEJADLWPNLE-GRGSLBFTSA-N
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,=,2.0,AYUNIORJHRXIBJ-TXHRRWQRSA-N
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,=,35.37,OBDOVFRMEYHSQB-UHFFFAOYSA-N
C=CCOc1ccccc1OC[C@H](O)CNC(C)C,=,0.72,CEMAWMOMDPGJMB-CYBMUJFWSA-N
C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,=,1.2,QJJXYPPXXYFBGM-LJIGMGMYSA-N
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,=,1.2,QJJXYPPXXYFBGM-LFZNUXCKSA-N
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,=,0.21,YXRDKMPIGHSVRX-OOJCLDBCSA-N
C=CC[N@@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,=,0.32,MUQUYTSLDVKIOF-BBMNSBIFSA-N
C=CCc1ccccc1OCC(O)CNC(C)C,=,3.2,PAZJSJFMUHDSTF-UHFFFAOYSA-N
C=C[C@@H]1CNCC[C@@H]1CCCc1ccnc2ccc(OC)cc12,=,24.4,XFXANHWIBFMEOY-CVEARBPZSA-N
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,=,2.77,XRWSZZJLZRKHHD-WVWIJVSJSA-N
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,=,1.8,LOUPRKONTZGTKE-FOEVPDMQSA-N
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,=,1.8,LOUPRKONTZGTKE-WZBLMQSHSA-N
C=C[C@H]1C[NH+]2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,=,2.9,LOUPRKONTZGTKE-SMHQJORMSA-O
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,=,1.32,KPVIXBKIJXZQJX-FCEONZPQSA-N
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,=,0.37,HIFJCPQKFCZDDL-ACWOEMLNSA-N
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,=,16.0,LTXREWYXXSTFRX-QGZVFWFLSA-N
CC(=N)N1CC[C@H](Oc2ccc([C@H](Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1,=,1.55,AGRCGQSFFMCBRE-ZEQRLZLVSA-N
CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,=,0.19,TYMABNNERDVXID-DLYFRVTGSA-N
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,=,38.0,XDXDZDZNSLXDNA-UHFFFAOYSA-N
CC(=O)CC(=O)Nc1ccc(-c2ccccc2)cc1,=,0.4,RFNJJAXRANPLRG-UHFFFAOYSA-N
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,=,0.13,PJVWKTKQMONHTI-UHFFFAOYSA-N
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,=,1.8,BYPFEZZEUUWMEJ-UHFFFAOYSA-N
CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,=,0.24,VABCILAOYCMVPS-OAHLLOKOSA-N
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,=,0.13,PJVWKTKQMONHTI-OAHLLOKOSA-N
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,=,0.2,NBQNWMBBSKPBAY-XSLAGTTESA-N
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,=,0.16,NTHXOOBQLCIOLC-UHFFFAOYSA-N
CC(=O)N(CC[C@@](CCN1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,=,2.6,GTEPPJFJSNSNIH-JOCHJYFZSA-N
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,=,1.35,UBQYURCVBFRUQT-UHFFFAOYSA-N
CC(=O)N1CCN([C@H]2CCN(C(=O)N(C)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,=,2.77,XGGTZCKQRWXCHW-WMTVXVAQSA-N
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,=,0.14,XMAYWYJOQHXEEK-OZXSUGGESA-N
CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,=,0.23,ARAIBEBZBOPLMB-UHFFFAOYSA-N
CC(=O)NCCCS(=O)(=O)O,=,0.3,AFCGFAGUEYAMAO-UHFFFAOYSA-N
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,=,0.58,TYZROVQLWOKYKF-ZDUSSCGKSA-N
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)O,=,,HJDRXEQUFWLOGJ-AJNGGQMLSA-N
CC(=O)N[C@@H](CS)C(=O)O,=,0.55,PWKSKIMOESPYIA-BYPYZUCNSA-N
CC(=O)N[C@@H](CS)C(=O)[O-],=,0.55,PWKSKIMOESPYIA-BYPYZUCNSA-M
CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,=,0.23,ARAIBEBZBOPLMB-UFGQHTETSA-N
CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O,=,1.98,ANIAZGVDEUQPRI-ZJQCGQFWSA-N
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N(C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)CCCNC(N)=O)[C@H](C)C(=O)N(C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](N)Cc1cccnc1)C(=O)[C@H](N)Cc1ccc(Cl)cc1,=,0.39,YLUGRSUNOJJSHV-DBPJNJIWSA-N
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C)C(N)=O,=,0.74,MEUCPCLKGZSHTA-VNFLKSSCSA-N
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,=,0.39,SBNPWPIBESPSIF-MHWMIDJBSA-N
CC(=O)N[C@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCC(C)C)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@@H](C(=O)O)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O,=,0.83,GHOXVFYORXUCPY-GPYQDIMHSA-N
CC(=O)N[C@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCC(C)C)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@@H](C(=O)O)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O,=,0.42,FHBQKTSCJKPYIO-KHNUJSQESA-N
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,=,0.17,GGGDNPWHMNJRFN-UHFFFAOYSA-N
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,=,0.26,YVPYQUNUQOZFHG-UHFFFAOYSA-N
CC(=O)Nc1ccc(C2=NNC(=O)C[C@H]2C)cc1,=,2.38,GDZXNMWZXLDEKG-MRVPVSSYSA-N
CC(=O)Nc1ccc(O)cc1,=,1.0,RZVAJINKPMORJF-UHFFFAOYSA-N
CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)cc1,=,,DURULFYMVIFBIR-CYBMUJFWSA-N
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,=,13.94,LIRYPHYGHXZJBZ-UHFFFAOYSA-N
CC(=O)Nc1nnc(S(N)(=O)=O)s1,=,0.37,BZKPWHYZMXOIDC-UHFFFAOYSA-N
CC(=O)OC1C(=O)[C@]23C[C@H]2C[C@H]2OC[C@@]2(OC(C)=O)[C@H]3[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,=,17.0,DXOJIXGRFSHVKA-HZTZUQLRSA-N
CC(=O)OC1C=C2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2CC1N1CCCCC1,=,0.3,KWOOLCGQPWNCEE-UHFFFAOYSA-N
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,=,0.15,BGSZAXLLHYERSY-UHFFFAOYSA-N
CC(=O)OC1[C@@H]([N+]2(C)CCCCC2)C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@@H]([N+]5(C)CCCCC5)C[C@]4(C)[C@H]3CC[C@]12C,=,0.2,GVEAYVLWDAFXET-XUCOTFPHSA-N
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,=,0.13,UQLLWWBDSUHNEB-UHFFFAOYSA-N
