Name ,IC,Human VD,Human Vd ref,Human Fu ,Human Fu ref,Rat VD,Rat Vd ref,Rat Fu ,Rat Fu ref,Dog VD,Dog Vd ref,Dog Fu ,Dog Fu ref,Monkey VD,Monkey Vd ref,Monkey Fu ,Monkey Fu ref,Human blood:plasma ratio,,Log D,LogD ref,PKA Acid,PKA  Acid ref,PKA Base,PKA Base ref
Crizotinib,B,25.31428571,"XALKORI® (crizotinib) Capsules, oral Initial U.S. Approval: August 2011 label",0.09,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",24,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",0.06,"O'Brien Z, Fallah MM  Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 2013 Dec;9(12):1597-612",12,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",0.04,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",13,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",0.07,"O'Brien Z, Fallah MM  (2013)Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 9:1597-612",1,"XALKORI® (crizotinib) Capsules, oral Initial U.S. Approval: August 2011 label",3.2,"Cui JJ, Tran-Dubé M, Shen H, Nambu M, Kung PP, Pairish M, Jia L, Meng J, Funk L, Botrous I, McTigue M, Grodsky N, Ryan K, Padrique E, Alton G, Timofeevski S, Yamazaki S, Li Q, Zou H, Christensen J, Mroczkowski B, Bender S, Kania RS, Edwards MP, Structure Based Drug Design of Crizotinib (PF-02341066), a Potent and Selective Dual Inhibitor of Mesenchymal–Epithelial Transition Factor (c-MET) Kinase and Anaplastic Lymphoma Kinase (ALK), J med chem,2011,54,6342-63",,,9.81,Calculated PKA
Cyclophosphamide,N,0.7,Jolivette and Ward,0.81,Jolivette and Ward,0.8,Jolivette and Ward,0.76,Jolivette and Ward,0.7,Jolivette and Ward,0.62,Jolivette and Ward,1.3,Jolivette and Ward,0.66,Jolivette and Ward,0.96,Berry et al,0.63,Bennet et al,,,,
Diclofenac,A,0.22,Obach et al,0.005,Obach et al,1.39,Obach et al,0.0056,Obach et al,0.19,Obach et al,0.0102,Obach et al,0.32,Obach et al,0.0042,Obach et al,0.71,Berry et al,1.13,Bennet et al,4.5,Manallack,,
Diltiazem,B,3.1,Berry et al,0.22,Berry et al,3.6,Berry et al,0.21,Berry et al,21,Berry et al,0.28,Berry et al,3.5,Berry et al,0.38,Berry et al,1,Berry et al,2.22,Bennet et al,,,7.7,Manallack
Disopyramide ,B,0.78,Jolivette and Ward,0.45,Jolivette and Ward,6.2,Jolivette and Ward,0.61,Jolivette and Ward,2.3,Jolivette and Ward,0.62,Jolivette and Ward,2,Jolivette and Ward,0.48,Jolivette and Ward,0.74,Gastroplus estimate,1.11,Calc,,,10.1,Calculated PKA
Doripenem,Z,0.23,Obach et al,0.92,Obach et al,0.27,Obach et al,0.65,Obach et al,0.26,Obach et al,0.9,Obach et al,0.3,Obach et al,0.94,Obach et al,1.16,Gastroplus estimate,-2.69,Calc,4.27,Calculated PKA,9.42,Calculated PKA
Doxorubicin ,B,25,Jolivette and Ward,0.13,Jolivette and Ward,25,Jolivette and Ward,0.067,Jolivette and Ward,44,Jolivette and Ward,0.092,Jolivette and Ward,24,Jolivette and Ward,0.12,Jolivette and Ward,0.87,Gastroplus estimate,0.67,Calc,,,8.68,Calculated PKA
Erythromycin,B,0.95,Obach et al,0.1,Obach et al,9.3,Obach et al,0.22,Obach et al,2.4,Obach et al,0.22,Obach et al,8.24,Obach et al,0.5648,Obach et al,0.91,Berry et al,3.33,Calc,,,8.8,Manallack
Etoposide,N,0.18,Obach et al,0.12,Obach et al,0.58,Obach et al,0.43,Obach et al,1.4,Obach et al,0.63,Obach et al,0.16,Obach et al,0.0051,Obach et al,0.66,Gastroplus estimate,0.6,Bennet et al,,,,
Famotidine,B,1.2,Obach et al,0.84,Obach et al,0.8,Obach et al,0.47,Obach et al,0.79,Obach et al,0.72,Obach et al,2.1,Obach et al,0.13,Obach et al,1.71,Gastroplus estimate,-1.5,Bennet et al,,,7.93,Calculated PKA
Felodipine,N,9.7,Berry et al,0.034,Berry et al,12,Berry et al,0.005,Obach et al,7.8,Berry et al,0.006,Berry et al,2.2,Berry et al,0.021,Berry et al,0.7,Berry et al,3.9,DrugBank,,,,
Fleroxacin,Z,1.6,Obach et al,0.73,Obach et al,1.3,Obach et al,0.49,Obach et al,1.3,Obach et al,0.51,Obach et al,1.2,Obach et al,0.6072,Obach et al,0.69,Gastroplus estimate,-0.25,Calc,-0.5,Calculated PKA,7.15,Calculated PKA
Flunisolide,N,1.8,Jolivette and Ward,0.24,Jolivette and Ward,3,Jolivette and Ward,0.22,Jolivette and Ward,3.7,Jolivette and Ward,0.24,Jolivette and Ward,4,Jolivette and Ward,0.26,Jolivette and Ward,0.76,Berry et al,1.1,DrugBank,,,,
Fluvastatin,A,0.42,Jolivette and Ward,0.007,Jolivette and Ward,1,Jolivette and Ward,0.016,Jolivette and Ward,0.7,Jolivette and Ward,0.003,Jolivette and Ward,3.7,Jolivette and Ward,0.007,Jolivette and Ward,0.7,Berry et al,1.1,"White CM, A review of the pharmacologic and pharmacokinetic aspects of rosuvastatin,J Clin Pharmacol. 2002,42,963-70.",4.27,Calculated PKA,,
Furosemide,A,0.12,Obach et al,0.012,Obach et al,0.12,Obach et al,0.1,Obach et al,0.69,Obach et al,0.12,Obach et al,0.1,Obach et al,0.0289,Obach et al,0.7,Berry et al,-1.54,Bennet et al,3.9,Manallack,,
Garenoxacin,B,1,Obach et al,0.25,Obach et al,0.9,Obach et al,0.13,Obach et al,1.29,Obach et al,0.23,Obach et al,0.96,Obach et al,0.19,Obach et al,1.1,Gastroplus estimate,0.39,Calc,,,8.76,Calculated PKA
Gatifloxacin,Z,1.7,Obach et al,0.8,Obach et al,2.5,Obach et al,0.75,Obach et al,2.11,Obach et al,0.84,Obach et al,1.85,Obach et al,0.83,Obach et al,0.7,Gastroplus estimate,-0.37,Calc,6.43,Calculated PKA,8.72,Calculated PKA
Gavestinel,A,0.12,Obach et al,0.002,Obach et al,0.3,Obach et al,0.03,Obach et al,0.2,Obach et al,0.1,Obach et al,0.32,Obach et al,0.03,Obach et al,N,Berry et al,0.48,Calc,3.77,Calculated PKA,,
Gemfibrozil,A,1.1,Berry et al,0.005,Berry et al,0.28,Berry et al,0.01,Berry et al,1.6,Berry et al,0.004,Berry et al,0.16,Berry et al,0.007,Berry et al,0.75,Berry et al,1.33,Bennet et al,4.75,Calculated PKA,,
Haloperidol,B,18,Berry et al,0.13,Berry et al,10,Berry et al,0.12,Berry et al,37,Berry et al,0.29,Berry et al,6.6,Berry et al,0.18,Berry et al,1.1,Berry et al,3.16,Bennet et al,,,8.3,Manallack
Hydrodolasetron,B,11,Berry et al,0.25,Berry et al,15,Berry et al,0.2,Berry et al,9.6,Berry et al,0.28,Berry et al,28,Berry et al,0.27,Berry et al,1,Berry et al,1.65,Calc,,,8.83,Calculated PKA
Imatinib,B,3.9,Obach et al,0.05,Obach et al,3.1,Obach et al,0.055,Obach et al,7.95,Obach et al,0.19,Obach et al,5.9,Obach et al,0.112,Obach et al,1.1,Berry et al,2.4,in house,,,7.55,Calculated PKA
Imipenem,Z,0.24,Obach et al,0.86,Obach et al,0.24,Obach et al,1,Obach et al,32,Obach et al,1,Obach et al,0.28,Obach et al,0.975,Obach et al,1.14,Gastroplus estimate,-1.76,Calc,4.29,Calculated PKA,10.62,Calculated PKA
Imipramine,B,13,Berry et al,0.13,Berry et al,11,Berry et al,0.15,Berry et al,6,Berry et al,0.16,Berry et al,9.7,Berry et al,0.14,Berry et al,1.1,Berry et al,2.2,Bennet et al,,,9.5,Manallack
Indinavir,N,1.74,Obach et al,0.36,Obach et al,2.2,Obach et al,0.065,Obach et al,0.73,Obach et al,0.1183,Obach et al,1.45,Obach et al,0.3,Obach et al,1,Berry et al,2.9,DrugBank,,,,
Indomethacin,A,0.93,Berry et al,0.007,Berry et al,1.9,Berry et al,0.003,Berry et al,5.6,Berry et al,0.006,Berry et al,1.8,Berry et al,0.004,Berry et al,0.98,Berry et al,0.77,Bennet et al,4.5,Manallack,,
Irinotecan,B,3.5,Obach et al,0.51,Obach et al,4.3,Obach et al,0.19,"Yang XX, Hu ZP, Chan SY, Duan W, Ho PC, Boelsterli UA, Ng KY, Chan E, Bian JS, Chen YZ, Huang M, Zhou SF.Pharmacokinetic Mechanisms for Reduced Toxicity of Irinotecan by Coadministered Thalidomide current drug metab. 7, 431-55.",1.01,Obach et al,0.1754,Obach et al,2.5,Obach et al,0.1974,Obach et al,1.2,Berry et al,1.4,in house,,,9.33,Calculated PKA
Isosorbide dinitrate,N,1.9,Obach et al,0.55, Jolivette and Ward,4.9, Jolivette and Ward,0.55, Jolivette and Ward,3, Jolivette and Ward,0.87, Jolivette and Ward,1.7,Obach et al,0.62, Jolivette and Ward,1.5,Berry et al,1.31,Bennet et al,,,,
Isosorbide mononitrate,N,0.6, Jolivette and Ward,0.72, Jolivette and Ward,0.97, Jolivette and Ward,0.42, Jolivette and Ward,0.8, Jolivette and Ward,0.01, Jolivette and Ward,0.5, Jolivette and Ward,0.77, Jolivette and Ward,1,Berry et al,0.15,DrugBank,,,,
Ketoprofen,A,0.13,Berry et al,0.004,Berry et al,0.42,Berry et al,0.011,Berry et al,0.28,Berry et al,0.024,Berry et al,0.25,Berry et al,0.014,Berry et al,1.1,Berry et al,-0.013,Bennet et al,4.8,Manallack,,
Lamifiban,Z,0.29,Obach et al,0.94,Obach et al,0.24,Obach et al,0.92," Lave T, Sander A, Coassolo P, Brant R,  Schmitt-Hoffman AH and Ruby C Animal Pharmacokinetics and Interspecies Scaling fiom Animals to Man of Lamifiban, a New Platelet Aggregation  Inhibitor, J. Pharm. Pharmacol. 1996.48: 573-577 ",0.75,Obach et al,0.89," Lave T, Sander A, Coassolo P, Brant R,  Schmitt-Hoffman AH and Ruby C Animal Pharmacokinetics and Interspecies Scaling fiom Animals to Man of Lamifiban, a New Platelet Aggregation  Inhibitor, J. Pharm. Pharmacol. 1996.48: 573-577 ",0.29,Obach et al,0.01,Obach et al,1,Berry et al,-1.1,Calc,3.4,Calculated PKA,10.8,Calculated PKA
Lamivudine,N,1.3, Jolivette and Ward,0.95, Jolivette and Ward,1.8, Jolivette and Ward,0.01, Jolivette and Ward,0.87, Jolivette and Ward,0.88, Jolivette and Ward,1.2, Jolivette and Ward,0.01, Jolivette and Ward,1,Berry et al,-1.4,DrugBank,,,,
Levofloxacin,Z,1.2,Berry et al,0.78,Berry et al,3.6,Berry et al,0.83,Berry et al,1.3,Berry et al,0.92,Berry et al,1.9,Berry et al,0.87,Berry et al,1.5,Berry et al,-0.4,Bennet et al,5.19,Calculated PKA,7.37,Calculated PKA
Lidocaine,B,1.1, Jolivette and Ward,0.31, Jolivette and Ward,2.5, Jolivette and Ward,0.38, Jolivette and Ward,2.1, Jolivette and Ward,0.44, Jolivette and Ward,0.98, Jolivette and Ward,0.42, Jolivette and Ward,0.87,Berry et al,1.88,Bennet et al,,,7.8,Manallack
Lorazepam,N,1.3,Berry et al,0.057,Berry et al,1,Berry et al,0.09,Berry et al,7,Berry et al,0.073,Berry et al,1.2,Berry et al,0.1,Berry et al,1.1,Berry et al,2.39,Bennet et al,,,,
Meropenem,Z,0.3,Obach et al,0.87,Obach et al,0.14,Obach et al,0.5,Obach et al,0.22,Obach et al,0.7258,Obach et al,0.23,Obach et al,0.6661,Obach et al,0.8,Gastroplus estimate,-1.63,Calc,4.19,Calculated PKA,7.89,Calculated PKA
Methotrexate,A,0.67, Jolivette and Ward,0.21, Jolivette and Ward,0.4, Jolivette and Ward,0.41, Jolivette and Ward,0.54, Jolivette and Ward,0.31, Jolivette and Ward,1.2, Jolivette and Ward,0.36, Jolivette and Ward,1,Berry et al,-2.52,Bennet et al,3.8,Manallack,,
Metoprolol,B,3.1,Obach et al,0.88,Obach et al,6.3,Obach et al,0.69,Obach et al,3.1,Obach et al,0.7562,Obach et al,14,Obach et al,0.8245,Obach et al,1.1,Berry et al,0.16,Bennet et al,,,9.7,Manallack
Midazolam,B,1.1,Obach et al,0.017,Obach et al,2.6,Obach et al,0.04,Obach et al,1.1,Obach et al,0.0223,Obach et al,3,Obach et al,0.1462,Obach et al,0.55,Berry et al,1.53,Bennet et al,,,6.2,Manallack
Mifepristone,N,1.5,Berry et al,0.013,Berry et al,4.3,Berry et al,0.013,Berry et al,10.5,Berry et al,0.023,Berry et al,33,Berry et al,0.039,Berry et al,1,Berry et al,4.5,DrugBank,,,,
Morphine,B,2.3,Obach et al,0.65,Obach et al,14.9,Obach et al,0.86,Obach et al,4.1,Obach et al,0.88,Obach et al,2.6,Obach et al,0.81,Obach et al,1,Berry et al,1.03,Bennet et al,,,8,Manallack
Moxalactam,A,0.17,Obach et al,0.39,Obach et al,0.25,Obach et al,1,Obach et al,0.2,Obach et al,0.66,Obach et al,0.19,Obach et al,1,Obach et al,0.62,Gastroplus estimate,-5.8,Calc,2.5,Manallack,,
Moxifloxacin,Z,1.4,Obach et al,0.6,Obach et al,3.6,Obach et al,0.63,Obach et al,2.7,Obach et al,0.71,Obach et al,4.9,Obach et al,0.62,Obach et al,0.72,Gastroplus estimate,0.55,Calc,6.43,Calculated PKA,10.63,Calculated PKA
Naltrexone,B,7.6, Jolivette and Ward,0.58,Berry et al,3.5, Jolivette and Ward,0.57,Berry et al,11, Jolivette and Ward,0.46,Berry et al,5.1, Jolivette and Ward,0.72,Berry et al,1.2,Berry et al,0.9,Bennet et al,,,7.5,Calculated PKA
Naproxen,A,0.09, Jolivette and Ward,0.003, Jolivette and Ward,0.18, Jolivette and Ward,0.008, Jolivette and Ward,0.12, Jolivette and Ward,0.004, Jolivette and Ward,0.1, Jolivette and Ward,0.003, Jolivette and Ward,0.55,Berry et al,1.7,Bennet et al,4.2,Manallack,,
Nicardipine,B,1,Obach et al,0.01,Obach et al,1.9,Obach et al,0.084,Obach et al,2.39,Obach et al,0.062,Obach et al,1.23,Obach et al,0.06,Obach et al,0.71,Berry et al,4.36,Calc,,,7.3,Calculated PKA
Nicotine,B,2.6, Jolivette and Ward,1, Jolivette and Ward,4.7, Jolivette and Ward,1, Jolivette and Ward,3.3, Jolivette and Ward,1, Jolivette and Ward,1.5, Jolivette and Ward,1, Jolivette and Ward,0.8,Berry et al,0.43,Bennet et al,,,8,Manallack
Nifedipine,N,0.78,Berry et al,0.12,Berry et al,0.13,Berry et al,0.004,Berry et al,1.2,Berry et al,0.13,Berry et al,0.5,Berry et al,0.065,Berry et al,0.59,Berry et al,2.8,Bennet et al,,,,
Nimodipine,N,1.1,Obach et al,0.016,Obach et al,5.5,Obach et al,0.03,Obach et al,3,Obach et al,0.03,Obach et al,3.62,Obach et al,0.095,Obach et al,0.64,Gastroplus estimate,2.86,Bennet et al,,,,
Pazopanib,B,0.1592857143,"Deng Y, Sychterz C, Suttle AB, Dar MM, Bershas D, Negash K, Qian Y, Chen EP,  Gorycki PD  and Ho MKH, Bioavailability, metabolism and disposition of oral
pazopanib in patients with advanced cancer. 43, Xenobiotica, 443-453",0.0005,in-house,0.45,"O'Brien Z, Fallah MM  Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 2013 Dec;9(12):1597-612",0.0005,in-house,0.3,"O'Brien Z, Fallah MM  Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 2013 Dec;9(12):1597-612",0.012,in-house,0.28,"O'Brien Z, Fallah MM  Small molecule kinase inhibitors approved by the FDA from 2000 to 2011: a systematic review of preclinical ADME data. Expert Opin Drug Metab Toxicol. 2013 Dec;9(12):1597-612",0.0005,in-house,0.9,"Deng Y, Sychterz C, Suttle AB, Dar MM, Bershas D, Negash K, Qian Y, Chen EP,  Gorycki PD  and Ho MKH, Bioavailability, metabolism and disposition of oral
pazopanib in patients with advanced cancer. 43, Xenobiotica, 443-453",3.15,Calc,,,,Calculated PKA
Pefloxacin,Z,1.5,Obach et al,0.75,Obach et al,2.79,Obach et al,0.28,Obach et al,1.07,Obach et al,0.19,Obach et al,0.65,Obach et al,0.21,Obach et al,0.73,Gastroplus estimate,0.15,Bennet et al,0.16,Calculated PKA,,Calculated PKA
Phencyclidine,B,6.9,Obach et al,0.35,Obach et al,12.6,Obach et al,0.37,Obach et al,16.6,Obach et al,0.43,Obach et al,6.78,Obach et al,0.3143,Obach et al,0.94,"Owens SM, Mayersohn M, Woodworth JR.Phencyclidine blood protein binding: influence of protein, pH and species.J Pharmacol Exp Ther. 1983,226,656-60.",3.33,Calc,,,,Manallack
Phenytoin,N,1.4, Jolivette and Ward,0.13, Jolivette and Ward,0.64, Jolivette and Ward,0.17, Jolivette and Ward,1, Jolivette and Ward,0.19, Jolivette and Ward,7.8, Jolivette and Ward,0.19, Jolivette and Ward,0.61,Berry et al,2.47,Bennet et al,,,,
Piperacillin,A,0.27,Obach et al,0.5,Obach et al,0.39,Obach et al,0.61,Obach et al,0.24,Obach et al,0.84,Obach et al,0.26,Obach et al,0.95,Obach et al,0.63,Gastroplus estimate,-3.3,Bennet et al,2.44,Calculated PKA,,
Pirmenol,B,1.4,Obach et al,0.13,Obach et al,2.6,Obach et al,0.49,Obach et al,2.1,Obach et al,0.4916,Obach et al,0.87,Obach et al,0.4199,Obach et al,0.67,"Hammill SC, Shand DG, Routledge PA, Hindman MC, Baker JT, Pritchett EL,Pirmenol, a new antiarrhythmic agent: initial study of efficacy, safety and pharmacokinetics, Circulation. 1982 65,369-75",0.93,Calc,,,,Calculated PKA
Prednisone,N,0.57,Obach et al,0.27,Obach et al,1.3,Obach et al,0.41,Obach et al,2.3,Obach et al,0.5,Obach et al,1.7,Obach et al,0.2612,Obach et al,0.94,Gastroplus estimate,1.46,Bennet et al,,,,
Propafenone,B,2.2,Berry et al,0.099,Berry et al,4.9,Berry et al,0.077,Berry et al,5,Berry et al,0.088,Berry et al,8.2,Berry et al,0.18,Berry et al,0.7,Berry et al,1.8,in house,,,,Calculated PKA
Propranolol,B,3.1,Obach et al,0.13,Obach et al,4.58,Obach et al,0.1,Obach et al,6.79,Obach et al,0.04,Obach et al,2.28,Obach et al,0.03,Obach et al,0.8,Berry et al,1.2,Bennet et al,,,,Manallack
Quinidine,B,2.9,Obach et al,0.26,Obach et al,5.28,Obach et al,0.32,Obach et al,4.26,Obach et al,0.12,Obach et al,1.51,Obach et al,0.2027,Obach et al,0.96,Berry et al,1.82,Bennet et al,,,,Manallack
Recainam,B,1.4,Obach et al,0.86,Obach et al,3.2,Obach et al,0.88,Obach et al,1.2,Obach et al,0.7,Obach et al,3,Obach et al,0.69,Obach et al,0.86,Gastroplus estimate,-1.25,Calc,,,,Calculated PKA
Remikiren,B,0.77,Obach et al,0.0558,Obach et al,4.4,Obach et al,0.053,Obach et al,1.52,Obach et al,0.0802,Obach et al,1.7,Obach et al,0.1665,Obach et al,0.64,Gastroplus estimate,2.39,Calc,,,,Calculated PKA
Ro25-6833,A,0.11,Obach et al,0.043,Obach et al,0.15,Obach et al,0.025,Obach et al,0.18,Obach et al,0.16,Obach et al,0.12,Obach et al,0.05,Obach et al,0.55,Gastroplus estimate,-3.9,Calc,2.48,Calculated PKA,,
Sulfinpyrazone,A,0.12,Obach et al,0.017,Obach et al,0.43,Obach et al,0.0031,Obach et al,0.21,Obach et al,0.0386,Obach et al,0.12,Obach et al,0.0185,Obach et al,0.62,Gastroplus estimate,-0.08,Bennet et al,2.8,Manallack,,
Susalimod,A,0.1,Obach et al,0.0019,Obach et al,1.2,Obach et al,0.0033,Obach et al,0.19,Obach et al,0.01,Obach et al,0.08,Obach et al,0.003,Obach et al,0.61,Gastroplus estimate,0.57,Calc,2.79,Calculated PKA,,
