Name,CAS #,SMILES,human VDss(L/kg),human fup,logD@pH7.4,Cationic fi@pH7.4,pKa1,pKa1 type,pKa2,pKa2 type,pKa3,pKa3 type,pKa4,pKa4 type,pKa ref,logD ref,VDss and fup ref.,Alpha_adrenergic,Beta_adrenergic,benzodiazepine,Beta_lactams_cephalosporines,Beta_lactams_penams_penems,Ca_blockers_dihydropyridines,fluoroquinolone_antibiotics,morphinans,NSAIDs,nucleotide,steroids,tri_tetracyclic_antidepressants
Amoxicillin,26787-78-0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.25,0.85,-3.2,0.447,2.6,a,7.31,b,9.53,a,,,"Bergstroem, Christel A. S.; Strafford, Melissa; Lazorova, Lucia; Avdeef, Alex; Luthman, Kristina; Artursson, Per. Absorption Classification of Oral Drugs Based on Molecular Surface Properties. J. Med. Chem. 2003, 46, 558-570","Ferreira, Luisa A.; Chervenak, Andrew; Placko, Steve; Kestranek, Aimee; Madeira, Pedro P.; Zaslavsky, Boris Y. Effect of ionic composition on the partitioning of organic compounds in octanol-​buffer systems. RSC Advances 2015, 5, 20574-20582.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,1,0,0,0,0,0,0,0
Ampicillin,69-53-4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.22,0.85,-1.8,0.355,2.55,a,7.14,b,,,,,"Babic, Sandra; Horvat, Alka J. M.; Mutavdzic Pavlovic, Dragana; Kastelan-Macan, Marija. Determination of pKa values of active pharmaceutical ingredients. TrAC, Trends Anal. Chem. 2007, 26, 1043-1061. (ref. 13 in cited work).","Benet, Leslie Z.; Broccatelli, Fabio; Oprea, Tudor I.  BDDCS Applied to Over 900 Drugs. AAPS Journal (2011), 13(4), 519-547.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,1,0,0,0,0,0,0,0
Antipyrine,60-80-0,CN1N(C(=O)C=C1C)c2ccccc2,0.77,0.93,0.34,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Ascorbic acid,50-81-7,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.35,0.26,-4.25,0.000,4.8,a,10.85,a,,,,,"Cena, Clara; Chegaev, Konstantin; Balbo, Silvia; Lazzarato, Loretta; Rolando, Barbara; Giorgis, Marta; Marini, Elisabetta; Fruttero, Roberta; Gasco, Alberto. Novel antioxidant agents deriving from molecular combination of Vitamin C and NO-​donor moieties. Bioorg. Med. Chem. 2008, 16, 5199-5206.","Estimated from pKa and logD (-1.65) at pH 1.0, from Cena, Clara; Chegaev, Konstantin; Balbo, Silvia; Lazzarato, Loretta; Rolando, Barbara; Giorgis, Marta; Marini, Elisabetta; Fruttero, Roberta; Gasco, Alberto. Novel antioxidant agents deriving from molecular combination of Vitamin C and NO-​donor moieties. Bioorg. Med. Chem. 2008, 16, 5199-5206.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Atenolol,29122-68-7,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.95,0.94,-1.51,0.994,9.6,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,1,0,0,0,0,0,0,0,0,0,0
Atomoxetine,83015-26-3,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,0.85,0.02,1.3,0.998,10.1,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Atropine,51-55-8,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,3.3,0.61,-0.16,0.996,9.84,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Azelastine,58581-89-8,CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,15,0.17,1.93,0.993,9.54,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Azithromycin,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,33,0.88,0.9,1.956,8.74,b,9.45,b,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics.  J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Betamethasone,378-44-9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.3,0.36,2.33,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,1,0
Betaxolol,63659-18-7,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,4.8,0.4,0.46,0.985,9.21,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,1,0,0,0,0,0,0,0,0,0,0
Bisoprolol,66722-44-9,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2.4,0.66,-0.38,0.993,9.57,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,1,0,0,0,0,0,0,0,0,0,0
Bromazepam,1812-30-2,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,0.85,0.48,1.38,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,1,0,0,0,0,0,0,0,0,0
Bumetanide,28395-03-1,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,0.16,0.031,-0.52,0.001,3.2,a,10,a,4.5,b,,,"Wenlock, Mark C.; Potter, Tim; Barton, Patrick; Austin, Rupert P. A method for measuring the lipophilicity of compounds in mixtures of 10. J. Biomol. Screen. 2011, 16, 3448-355. ","Wenlock, Mark C.; Potter, Tim; Barton, Patrick; Austin, Rupert P. A method for measuring the lipophilicity of compounds in mixtures of 10. J. Biomol. Screen. 2011, 16, 3448-355. ","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Butorphanol,42408-82-2,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,12,0.17,1.48,0.860,8.19,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,1,0,0,0,0
Caffeine,58-08-2,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.63,0.64,-0.01,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,1,0,0
Candesartan,139481-59-7,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,0.13,0.002,-1.35,0.000,2.1,a,3.34,a,,,,,"Tosco, Paolo; Rolando, Barbara; Fruttero, Roberta; Henchoz, Yveline; Martel, Sophie; Carrupt, Pierre-Alain; Gasco, Alberto. Physicochemical profiling of sartans: a detailed study of ionization constants and distribution coefficients. Helv. Chim. Acta 2008, 91, 468-482.","Tosco, Paolo; Rolando, Barbara; Fruttero, Roberta; Henchoz, Yveline; Martel, Sophie; Carrupt, Pierre-Alain; Gasco, Alberto. Physicochemical profiling of sartans: a detailed study of ionization constants and distribution coefficients. Helv. Chim. Acta 2008, 91, 468-482.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Captopril,62571-86-2,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.75,0.73,-2.4,0.000,9.79,a,3.38,a,,,,,"Schoenherr, D.; Wollatz, U.; Haznar-Garbacz, D.; Hanke, U.; Box, K. J.; Taylor, R.; Ruiz, R.; Beato, S.; Becker, D.; Weitschies, W.  Characterisation of selected active agents regarding pKa values, solubility concentrations and pH profiles by SiriusT3. Eur. J.  Pharm.Biopharm. 2015, 92, 155-170. ","Avdeef, Alex. Absorption and drug development: Solubility, permeability, and charge state, Second Edition. 2012, J. Wiley & Sons, Hoboken, NJ. Ch. 4. pp. 201-209.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Carprofen,53716-49-7,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,0.22,0.001,1.09,0.000,4.45,a,,,,,,,"Bouchard, Geraldine; Carrupt, Pierre-Alain; Testa, Bernard; Gobry, Veronique; Girault, Hubert H. Lipophilicity and Solvation of Anionic Drugs. Chemistry - A European Journal 2002, 8, 3478-3484.","Estimated via measured pKa and logP, 4.04. Bouchard, Geraldine; Carrupt, Pierre-Alain; Testa, Bernard; Gobry, Veronique; Girault, Hubert H. Lipophilicity and Solvation of Anionic Drugs. Chemistry - A European Journal 2002, 8, 3478-3484.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,1,0,0,0
