logD@pH7.4,Cationic fi@pH7.4,human fup,std_smiles,std_relation,human VDss(L/kg),inchi_key
1.44,0.0,0.01,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,=,0.33,SEERZIQQUAZTOL-ANMDKAQQSA-N
-1.4,0.0,0.01,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,=,0.26,JCKYGMPEJWAADB-UHFFFAOYSA-N
1.55,0.0,0.34,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,=,0.94,WIIZWVCIJKGZOK-RKDXNWHRSA-N
3.08,0.0,0.055999999999999994,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,=,0.25,ANTSCNMPPGJYLG-UHFFFAOYSA-N
1.56,0.986,0.7,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,=,3.3,SOYKEARSMXGVTM-UHFFFAOYSA-N
3.2,0.986,0.055999999999999994,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,=,10.0,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
-0.89,0.995,0.52,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,=,0.9,CYDMQBQPVICBEU-XRNKAMNCSA-N
0.4,0.271,0.78,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,=,1.2,AQIXAKUUQRKLND-UHFFFAOYSA-N
-1.0,0.958,0.7,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,=,2.1,MYSWGUAQZAJSOK-UHFFFAOYSA-N
1.31,0.99,0.2,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,=,12.0,WSEQXVZVJXJVFP-UHFFFAOYSA-N
3.62,0.99,0.028999999999999998,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,=,13.0,GDLIGKIOYRNHDA-UHFFFAOYSA-N
0.29,0.8170000000000001,0.56,Clc1cccc(Cl)c1NC1=NCCN1,=,3.3,GJSURZIOUXUGAL-UHFFFAOYSA-N
3.38,0.629,0.055,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,=,1.6,QZUDBNBUXVUHMW-UHFFFAOYSA-N
0.48,0.9520000000000001,0.12,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,=,2.0,ZPUCINDJVBIVPJ-LJISPDSOSA-N
0.39,0.863,0.7,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,=,3.5,OROGSEYTTFOCAN-DNJOTXNNSA-N
0.9,0.0,0.61,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,=,6.1,IAKHMKGGTNLKSZ-INIZCTEOSA-N
3.16,0.0,0.051,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,=,2.2,CHIFCDOIPRCHCF-UHFFFAOYSA-N
-1.3,0.995,0.59,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,=,1.3,FMTDIUIBLCQGJB-SEYHBJAFSA-N
1.3,0.9990000000000001,0.16,CNCCCN1c2ccccc2CCc2ccccc21,=,15.0,HCYAFALTSJYZDH-UHFFFAOYSA-N
3.26,0.0,0.03,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,=,0.45,AKPLHCDWDRPJGD-UHFFFAOYSA-N
2.03,0.0,0.32,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,=,0.94,UREBDLICKHMUKA-CXSFZGCWSA-N
2.98,0.0,0.023,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,=,1.0,AAOVKJBEBIDNHE-UHFFFAOYSA-N
1.22,0.0,0.005,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,=,0.22,DCOPUUMXTXDBNB-UHFFFAOYSA-N
-0.17,0.0,0.033,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,=,0.11,YFAGHNZHGGCZAX-JKIFEVAISA-N
0.76,0.0,0.0016,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,=,0.09699999999999999,HUPFGZXOMWLGNK-UHFFFAOYSA-N
2.0,0.82,0.18,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,=,4.1,HSUGRBWQSSZJOP-RTWAWAEBSA-N
1.38,0.98,0.19,CN(C)CCOC(c1ccccc1)c1ccccc1,=,6.5,ZZVUWRFHKOJYTH-UHFFFAOYSA-N
3.17,0.76,0.08199999999999999,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,=,3.4,FGXWKSZFVQUSTL-UHFFFAOYSA-N
-0.22,0.996,0.12,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,=,0.69,JBIWCJUYHHGXTC-AKNGSSGZSA-N
-1.0,0.7340000000000001,0.62,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,=,0.38,LZFZMUMEGBBDTC-QEJZJMRPSA-N
-1.0,0.955,0.8,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,=,2.0,IDYZIJYBMGIQMJ-UHFFFAOYSA-N
4.38,0.07400000000000001,0.02,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,=,3.6,XCGSFFUVFURLIX-VFGNJEKYSA-N
3.9,0.0,0.016,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,=,1.2,VOXZDWNPVJITMN-ZBRFXRBCSA-N
3.42,0.0,0.013999999999999999,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,=,4.3,BFPYWIDHMRZLRN-SLHNCBLASA-N
4.52,0.0,0.0036,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,=,4.4,RZTAMFZIAATZDJ-UHFFFAOYSA-N
1.74,0.0,0.02,C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1,=,0.1,RDJGLLICXDHJDY-LLVKDONJSA-N
2.39,0.915,0.16,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,=,0.89,PJMPHNIQZUBGLI-UHFFFAOYSA-N
0.49,0.988,0.52,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,=,6.1,DJBNUMBKLMJRSA-UHFFFAOYSA-N
-0.57,0.835,0.73,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,=,1.6,XBJBPGROQZJDOJ-UHFFFAOYSA-N
0.66,0.0,0.89,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,=,0.75,RFHAOTPXVQNOHP-UHFFFAOYSA-N
0.78,0.0,0.58,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,=,0.8,OFBIFZUFASYYRE-UHFFFAOYSA-N
2.1,0.0,0.04,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,=,0.68,GAKMQHDJQHZUTJ-ULHLPKEOSA-N
1.4,0.0,0.0079,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,=,0.42,FJLGEFLZQAZZCD-JUFISIKESA-N
-7.85,0.0,0.087,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,=,0.25,VVIAGPKUTFNRDU-ABLWVSNPSA-N
-1.77,0.0,0.012,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,=,0.12,ZZUFCTLCJUWOSV-UHFFFAOYSA-N
-1.12,0.9990000000000001,0.97,NCC1(CC(=O)O)CCCCC1,=,0.71,UGJMXCAKCUNAIE-UHFFFAOYSA-N
0.21,0.893,0.83,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,=,2.3,ASUTZQLVASHGKV-JDFRZJQESA-N
-0.71,0.982,0.8,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,1.7,XUBOMFCQGDBHNK-UHFFFAOYSA-N
0.13,0.0,0.02,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,=,0.16,ZJJXGWJIGJFDTL-UHFFFAOYSA-N
2.18,0.0,0.021,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,=,0.08,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
2.46,0.9470000000000001,0.08,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,=,17.0,LNEPOXFFQSENCJ-UHFFFAOYSA-N
1.49,0.0,0.2,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,=,0.38,JYGXADMDTFJGBT-VWUMJDOOSA-N
1.0,0.0,0.006,CC(C)Cc1ccc(C(C)C(=O)O)cc1,=,0.15,HEFNNWSXXWATRW-UHFFFAOYSA-N
1.97,0.991,0.075,CN(C)CCCN1c2ccccc2CCc2ccccc21,=,12.0,BCGWQEUPMDMJNV-UHFFFAOYSA-N
0.89,0.0,0.01,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,=,0.096,CGIGDMFJXJATDK-UHFFFAOYSA-N
-0.76,0.0,0.01,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,=,0.12,RJMIEHBSYVWVIN-UHFFFAOYSA-N
1.28,0.0,0.1,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,=,0.94,YOSHYTLCDANDAN-UHFFFAOYSA-N
-0.64,0.0,0.035,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,=,0.19,YYUAYBYLJSNDCX-UHFFFAOYSA-N
5.9,0.0,0.002,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,=,7.4,VHVPQPYKVGDNFY-UHFFFAOYSA-N
0.19,0.0,0.008,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,=,0.13,DKYWVDODHFEZIM-UHFFFAOYSA-N
1.57,0.5,0.5,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,=,4.8,SGUAFYQXFOLMHL-UHFFFAOYSA-N
-2.08,0.9590000000000001,0.76,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,=,1.7,WTDRDQBEARUVNC-LURJTMIESA-N
3.04,0.9840000000000001,0.034,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,=,12.0,VRQVVMDWGGWHTJ-CQSZACIVSA-N
1.29,0.7759999999999999,0.33,CCN(CC)CC(=O)Nc1c(C)cccc1C,=,1.8,NNJVILVZKWQKPM-UHFFFAOYSA-N
2.8,0.0,0.09,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,=,1.3,DIWRORZWFLOCLC-UHFFFAOYSA-N
2.77,0.0,0.12,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,=,1.6,FJIKWRGCXUCUIG-UHFFFAOYSA-N
1.13,0.0,0.01,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,=,0.37,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
1.85,0.0,0.043,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,=,0.87,QLJODMDSTUBWDW-BXMDZJJMSA-N
2.04,0.9990000000000001,0.11,CNCCCC12CCC(c3ccccc31)c1ccccc12,=,45.0,QSLMDECMDJKHMQ-UHFFFAOYSA-N
0.07,0.0,0.003,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,=,0.15,ZRVUJXDFFKFLMG-UHFFFAOYSA-N
-3.48,0.971,0.14,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,=,0.48,SGDBTWWWUNNDEQ-LBPRGKRZSA-N
1.11,0.9520000000000001,0.42,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,=,2.3,XADCESSVHJOZHK-UHFFFAOYSA-N
1.3,0.8759999999999999,0.21,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,=,4.4,USSIQXCVUWKGNF-UHFFFAOYSA-N
-2.0,0.0,0.43,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,=,0.32,RJQXTJLFIWVMTO-TYNCELHUSA-N
-2.0,0.008,0.37,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,=,0.43,FBOZXECLQNJBKD-ZDUSSCGKSA-N
2.42,0.0,0.23,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,=,1.2,VHRSUDSXCMQTMA-PJHHCJLFSA-N
0.73,0.992,0.6,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,=,3.2,TTWJBBZEZQICBI-UHFFFAOYSA-N
-0.62,0.995,0.88,COCCc1ccc(OCC(O)CNC(C)C)cc1,=,3.1,IUBSYMUCCVWXPE-UHFFFAOYSA-N
0.12,0.0,0.96,Cc1ncc([N+](=O)[O-])n1CCO,=,0.4,VAOCPAMSLUNLGC-UHFFFAOYSA-N
0.23,0.983,0.36,Cc1cccc(C)c1OCC(C)N,=,5.9,VLPIATFUUWWMKC-UHFFFAOYSA-N
3.31,0.0,0.017,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,=,1.1,DDLIGBOFAVUZHB-UHFFFAOYSA-N
-0.04,0.996,0.005,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,=,1.6,DYKFCLLONBREIL-KVUCHLLUSA-N
2.6,0.44299999999999995,0.15,CN1CCN2c3ncccc3Cc3ccccc3C2C1,=,4.2,RONZAEMNMFQXRA-UHFFFAOYSA-N
0.32,0.858,0.65,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,=,2.3,BQJCRHHNABKAKU-KBQPJGBKSA-N
-0.26,0.9890000000000001,0.6,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,=,1.4,FABPRXSRWADJSP-MEDUHNTESA-N
-0.77,0.995,0.14,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,=,1.9,VWPOSFSPZNDTMJ-UHFFFAOYSA-N
1.44,0.7759999999999999,0.54,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,=,1.7,UZHSEJADLWPNLE-GRGSLBFTSA-N
0.33,0.0,0.002,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,=,0.09,CMWTZPSULFXXJA-VIFPVBQESA-N
2.76,0.8690000000000001,0.02,O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,=,11.0,KOHIRBRYDXPAMZ-YHDSQAASSA-N
4.95,0.11199999999999999,0.01,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,=,0.51,VRBKIVRKKCLPHA-UHFFFAOYSA-N
0.23,0.8340000000000001,0.95,CN1CCC[C@H]1c1cccnc1,=,2.6,SNICXCGAKADSCV-JTQLQIEISA-N
2.84,0.0,0.044000000000000004,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],=,0.79,HYIMSNHJOBLJNT-UHFFFAOYSA-N
0.06,0.134,0.65,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,=,1.0,SGXXNSQHWDMGGP-IZZDOVSWSA-N
-1.1,0.903,0.13,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,=,1.88,OGJPXUAPXNRGGI-UHFFFAOYSA-N
1.9,0.998,0.12,CNCCC=C1c2ccccc2CCc2ccccc21,=,22.0,PHVGLTMQBUFIQQ-UHFFFAOYSA-N
-0.35,0.873,0.75,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,=,1.6,GSDSWSVVBLHKDQ-UHFFFAOYSA-N
2.0,0.0,0.05,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,=,0.24,SUBDBMMJDZJVOS-UHFFFAOYSA-N
0.33,0.0,0.07,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,=,0.19,UWYHMGVUTGAWSP-JKIFEVAISA-N
2.94,0.0,0.04,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,=,0.59,ADIMAYPTOBDMTL-UHFFFAOYSA-N
0.37,0.9309999999999999,0.55,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,=,2.5,BRUQQQPBMZOVGD-XFKAJCMBSA-N
-1.6,0.987,0.9,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,=,1.7,IWVCMVBTMGNXQD-PXOLEDIWSA-N
4.5,0.0,0.12,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,=,3.0,RCINICONZNJXQF-MZXODVADSA-N
2.12,0.992,0.06,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,=,18.0,AHOUBRCZNHFOSL-YOEHRIQHSA-N
0.14,0.58,0.75,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,=,1.5,FHFYDNQZQSQIAI-UHFFFAOYSA-N
-0.82,0.0,0.4,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.24,JGSARLDLIJGVTE-MBNYWOFBSA-N
0.24,0.0,0.51,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,=,1.8,BYPFEZZEUUWMEJ-UHFFFAOYSA-N
3.94,0.8370000000000001,0.07,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,=,18.0,RGCVKNLCSQQDEP-UHFFFAOYSA-N
-0.12,0.0,0.25,CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,=,0.3,NONJJLVGHLVQQM-JHXYUMNGSA-N
-0.18,0.0,0.45,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.41,BPLBGHOLXOTWMN-MBNYWOFBSA-N
-0.2,0.993,0.58,CC(C)NCC(O)COc1cccc2[nH]ccc12,=,1.2,JZQKKSLKJUAGIC-UHFFFAOYSA-N
-2.07,0.8959999999999999,0.7,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,=,0.88,JOHZPMXAZQZXHR-UHFFFAOYSA-N
-2.0,0.0,0.5,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,=,0.27,IVBHGBMCVLDMKU-GXNBUGAJSA-N
